pair_id,protocol,gap_limit,token,exact_source,NC,DAC,near_region,near_index,far_index,PDMS_gap,near_PDMS,far_PDMS,near_q,far_q,near_r_knn,far_r_knn,common_noise_key
primary:006cbccbfae95262:34:38,primary,0.25,006cbccbfae95262,IL-native,1.0,1.0,boundary,34,38,0.0,100.0,100.0,63.28125,97.65625,1.0815955189079511,1.5599477643274937,primary:006cbccbfae95262:34:38
primary:006cbccbfae95262:37:62,primary,0.25,006cbccbfae95262,IL-native,1.0,1.0,boundary,37,62,0.0,100.0,100.0,67.1875,100.0,1.1187545688148333,2.06613173357121,primary:006cbccbfae95262:37:62
primary:007505437ed45b53:132:140,primary,0.25,007505437ed45b53,Bridge-0.2_mts_8692,1.0,1.0,boundary,132,140,0.1236336330058947,81.90158441429594,81.77795078129004,93.75,95.3125,1.488984438822527,1.5773717809257166,primary:007505437ed45b53:132:140
primary:007505437ed45b53:148:144,primary,0.25,007505437ed45b53,Bridge-0.2_mts_8751,1.0,1.0,boundary,148,144,0.0028866629116919285,81.79668101275726,81.79956767566895,93.75,95.3125,1.5248828889585284,1.621293975749144,primary:007505437ed45b53:148:144
primary:007505437ed45b53:33:44,primary,0.25,007505437ed45b53,IL-native,1.0,1.0,boundary,33,44,0.16581382190734928,81.17775886023217,81.01194503832482,80.46875,100.0,1.1533745749679971,2.2875159887670495,primary:007505437ed45b53:33:44
primary:007505437ed45b53:45:40,primary,0.25,007505437ed45b53,IL-native,1.0,1.0,boundary,45,40,0.06872586363517996,81.35919770381362,81.29047184017844,85.9375,95.3125,1.2536354990778216,1.6216525801182078,primary:007505437ed45b53:45:40
primary:008a9f9434c75b99:34:36,primary,0.25,008a9f9434c75b99,IL-native,1.0,1.0,boundary,34,36,0.0,100.0,100.0,83.59375,96.875,1.1653376754990838,1.4240956105202274,primary:008a9f9434c75b99:34:36
primary:008a9f9434c75b99:35:38,primary,0.25,008a9f9434c75b99,IL-native,1.0,1.0,boundary,35,38,0.0,100.0,100.0,72.65625,95.3125,1.0911946035451638,1.3404223401825122,primary:008a9f9434c75b99:35:38
primary:008a9f9434c75b99:37:43,primary,0.25,008a9f9434c75b99,IL-native,1.0,1.0,boundary,37,43,0.0,100.0,100.0,83.59375,98.4375,1.1488224111217322,1.5720377889241797,primary:008a9f9434c75b99:37:43
primary:008a9f9434c75b99:40:48,primary,0.25,008a9f9434c75b99,IL-native,1.0,1.0,boundary,40,48,0.0,100.0,100.0,58.59375,100.0,1.0251052891529109,2.3520366662357093,primary:008a9f9434c75b99:40:48
primary:00bbc908bd5758e6:148:144,primary,0.25,00bbc908bd5758e6,Bridge-0.2_mts_8751,1.0,1.0,boundary,148,144,0.0,100.0,100.0,94.53125,96.09375,1.6269809202818404,1.7015184749429517,primary:00bbc908bd5758e6:148:144
primary:00bbc908bd5758e6:152:156,primary,0.25,00bbc908bd5758e6,Bridge-0.2_mts_8751,1.0,1.0,boundary,152,156,0.0,100.0,100.0,92.96875,96.09375,1.5110169417341028,1.6917606665530536,primary:00bbc908bd5758e6:152:156
primary:00bbc908bd5758e6:138:130,primary,0.25,00bbc908bd5758e6,Bridge-0.6_mts_8692,1.0,1.0,boundary,138,130,0.0,100.0,100.0,91.40625,97.65625,1.4837146347099592,1.9061727643606055,primary:00bbc908bd5758e6:138:130
primary:01034b2411ce5ea0:133:129,primary,0.25,01034b2411ce5ea0,Bridge-0.4_mts_8692,1.0,1.0,boundary,133,129,0.08142651059786488,89.54986429766946,89.63129080826732,89.0625,95.3125,1.2124242397803178,1.322646673342595,primary:01034b2411ce5ea0:133:129
primary:01034b2411ce5ea0:155:151,primary,0.25,01034b2411ce5ea0,Bridge-0.8_mts_8751,1.0,1.0,boundary,155,151,0.0003974810033753329,89.560576640083,89.56097412108637,93.75,96.875,1.3005356890298236,1.404764343256218,primary:01034b2411ce5ea0:155:151
primary:019cfd828c3f5b7c:63:60,primary,0.25,019cfd828c3f5b7c,IL-native,1.0,1.0,boundary,63,60,0.07422261117244489,95.61838144975957,95.69260406093201,92.96875,98.4375,1.7175938334355458,2.3117468396054015,primary:019cfd828c3f5b7c:63:60
primary:022fef6d66485384:145:149,primary,0.25,022fef6d66485384,Bridge-0.4_mts_8751,1.0,1.0,boundary,145,149,0.11113409904129412,91.8656464868526,91.7545123878113,90.625,96.09375,1.4985075998739203,1.8209890489458345,primary:022fef6d66485384:145:149
primary:022fef6d66485384:0:9,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,0,9,0.11353070963856737,91.87794608822125,91.76441537858268,90.625,95.3125,1.491081215922694,1.733623105583854,primary:022fef6d66485384:0:9
primary:022fef6d66485384:1:15,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,1,15,0.022449110398483185,91.86244830855257,91.83999919815409,92.1875,98.4375,1.5469172727525027,2.425207265750731,primary:022fef6d66485384:1:15
primary:022fef6d66485384:2:16,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,2,16,0.021469524652488303,92.00547242024079,92.02694194489328,90.625,100.0,1.4838475595606706,4.04342863203402,primary:022fef6d66485384:2:16
primary:022fef6d66485384:3:11,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,3,11,0.0436664156989508,91.84316764618178,91.79950123048283,93.75,98.4375,1.5748000061485046,2.0794884613583524,primary:022fef6d66485384:3:11
primary:022fef6d66485384:5:10,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,5,10,0.00025642352672150537,91.88005821530396,91.88031463883068,89.0625,98.4375,1.4305438177096363,2.5311379003242873,primary:022fef6d66485384:5:10
primary:022fef6d66485384:6:20,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,6,20,0.13263789412280858,91.91877925940105,92.05141715352386,93.75,100.0,1.6444569781037666,5.217412268705666,primary:022fef6d66485384:6:20
primary:022fef6d66485384:7:14,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,7,14,0.12725427682164536,91.53783100726685,91.4105767304452,93.75,98.4375,1.6276425848111218,2.026846045300639,primary:022fef6d66485384:7:14
primary:022fef6d66485384:8:18,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,8,18,0.15826206121053588,91.9340745305715,92.09233659178203,92.1875,99.21875,1.505914037008139,3.3568492982791693,primary:022fef6d66485384:8:18
primary:022fef6d66485384:12:25,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,12,25,0.0015551126773374335,92.51549150363257,92.51393639095524,90.625,100.0,1.4738404581959974,7.842111551635296,primary:022fef6d66485384:12:25
primary:022fef6d66485384:27:24,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,27,24,0.24838130068582132,91.750410709443,91.50202940875718,92.96875,100.0,1.5691208477366645,6.379003487033047,primary:022fef6d66485384:27:24
primary:022fef6d66485384:29:21,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,29,21,0.18062210387360267,91.78825100300428,91.60762889913067,93.75,100.0,1.5761584963414228,5.900429736971303,primary:022fef6d66485384:29:21
primary:022fef6d66485384:31:13,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,31,13,0.13108410685762806,91.83640312271146,91.70531901585383,94.53125,98.4375,1.7048235196711476,2.1307694436575253,primary:022fef6d66485384:31:13
primary:023664205ae95402:150:154,primary,0.25,023664205ae95402,Bridge-0.6_mts_8751,1.0,1.0,boundary,150,154,0.16955593209492292,89.81617301134574,89.64661707925082,89.84375,96.09375,1.4434079619010587,1.7288496203642894,primary:023664205ae95402:150:154
primary:023664205ae95402:0:6,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,0,6,0.002907185455470085,89.63086119233587,89.63376837779134,67.1875,96.09375,1.098746463608838,1.7487798310583105,primary:023664205ae95402:0:6
primary:023664205ae95402:2:20,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,2,20,0.0029077477821033426,89.70300011470202,89.70590786248412,56.25,100.0,1.0387210383207826,5.006230919287406,primary:023664205ae95402:2:20
primary:023664205ae95402:3:11,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,3,11,0.0018806209097164128,89.62582594939201,89.62394532848229,58.59375,96.09375,1.0613271500869874,1.9840930702898014,primary:023664205ae95402:3:11
primary:023664205ae95402:4:15,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,4,15,0.000676174675021457,89.64657912901632,89.64725530369134,56.25,99.21875,1.03833620949488,2.287465362293294,primary:023664205ae95402:4:15
primary:023664205ae95402:5:16,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,5,16,0.005636821367360767,89.63331489886257,89.63895172022993,68.75,100.0,1.1277984986296314,4.099757641745397,primary:023664205ae95402:5:16
primary:023664205ae95402:8:13,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,8,13,0.017543457424935127,89.62288895486971,89.60534549744477,93.75,96.09375,1.6664179612718433,1.8288894359341878,primary:023664205ae95402:8:13
primary:023664205ae95402:22:24,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,22,24,0.09729119697828992,90.83315697142275,90.73586577444446,68.75,99.21875,1.1220801841642827,2.3056684116964146,primary:023664205ae95402:22:24
primary:023664205ae95402:26:10,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,26,10,0.0032009869090643406,89.63201503196395,89.63521601887301,82.03125,96.09375,1.2987837567175629,1.8343498694732798,primary:023664205ae95402:26:10
primary:023664205ae95402:27:23,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,27,23,0.01646946225501722,89.55872228492646,89.54225282267144,71.875,100.0,1.1607834514179283,5.1363995694092335,primary:023664205ae95402:27:23
primary:023664205ae95402:29:18,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,29,18,0.013179003220727736,89.5865295808255,89.59970858404623,68.75,100.0,1.1123383217213452,3.6740374352014196,primary:023664205ae95402:29:18
primary:023664205ae95402:30:25,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,30,25,0.0936482865179471,89.63072635670247,89.72437464322041,79.6875,100.0,1.2689786481309704,7.411910721113191,primary:023664205ae95402:30:25
primary:023664205ae95402:31:21,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,31,21,0.027141781413590138,89.62741083513284,89.60026905371924,82.03125,100.0,1.3215235209336034,5.90000030528319,primary:023664205ae95402:31:21
primary:023664205ae95402:39:50,primary,0.25,023664205ae95402,IL-native,1.0,1.0,boundary,39,50,0.04907616533988346,90.38222440674555,90.43130057208543,67.1875,96.875,1.1042477465146814,2.132483249352093,primary:023664205ae95402:39:50
primary:023664205ae95402:66:67,primary,0.25,023664205ae95402,mts_8692,1.0,1.0,boundary,66,67,0.028572145498486634,90.30839394155615,90.27982179605766,92.96875,96.09375,1.5368212217009947,1.7836535572426842,primary:023664205ae95402:66:67
primary:023664205ae95402:71:73,primary,0.25,023664205ae95402,mts_8692,1.0,1.0,boundary,71,73,0.08057428587443383,89.70594879990745,89.62537451403301,89.0625,96.09375,1.4203377403372572,1.7734496028001465,primary:023664205ae95402:71:73
primary:023664205ae95402:74:64,primary,0.25,023664205ae95402,mts_8692,1.0,1.0,boundary,74,64,0.0846184148389284,89.74462233956655,89.82924075440548,92.96875,96.09375,1.5572860549817897,1.7921125954592019,primary:023664205ae95402:74:64
primary:023664205ae95402:75:68,primary,0.25,023664205ae95402,mts_8692,1.0,1.0,boundary,75,68,0.0013064521233019377,89.4941559203049,89.4928494681816,93.75,99.21875,1.6728339254550464,2.168910685113667,primary:023664205ae95402:75:68
primary:023664205ae95402:78:69,primary,0.25,023664205ae95402,mts_8692,1.0,1.0,boundary,78,69,0.13552505885937194,89.6803853842625,89.54486032540312,92.96875,96.09375,1.6060752886947733,1.8483612626752115,primary:023664205ae95402:78:69
primary:023664205ae95402:79:76,primary,0.25,023664205ae95402,mts_8692,1.0,1.0,boundary,79,76,0.12252859231648472,89.86294346562147,89.98547205793795,92.96875,96.09375,1.5398083815322512,1.7326910891835499,primary:023664205ae95402:79:76
primary:025b2d4de25c5036:54:62,primary,0.25,025b2d4de25c5036,IL-native,1.0,1.0,boundary,54,62,0.03748733477320343,86.22198795527297,86.25947529004617,75.78125,97.65625,1.2318036779764194,1.5373622719900844,primary:025b2d4de25c5036:54:62
primary:025b2d4de25c5036:57:37,primary,0.25,025b2d4de25c5036,IL-native,1.0,1.0,boundary,57,37,0.1329337179383998,86.28716466810134,86.42009838603974,61.71875,95.3125,1.0712053062847984,1.494032218297542,primary:025b2d4de25c5036:57:37
primary:025b2d4de25c5036:60:39,primary,0.25,025b2d4de25c5036,IL-native,1.0,1.0,boundary,60,39,0.13887285738751132,87.13985307725548,87.27872593464299,89.0625,98.4375,1.3780679210405158,1.613105811048991,primary:025b2d4de25c5036:60:39
primary:0264cfbeb1705e5f:138:142,primary,0.25,0264cfbeb1705e5f,Bridge-0.6_mts_8692,1.0,1.0,boundary,138,142,0.005874520059165889,87.7084012000937,87.70252668003454,92.1875,97.65625,1.6285555486304635,1.9472224657272834,primary:0264cfbeb1705e5f:138:142
primary:0264cfbeb1705e5f:150:146,primary,0.25,0264cfbeb1705e5f,Bridge-0.6_mts_8751,1.0,1.0,boundary,150,146,0.2116299001181261,87.58685876137156,87.79848866148969,86.71875,95.3125,1.407085969271832,1.7733966045783611,primary:0264cfbeb1705e5f:150:146
primary:0264cfbeb1705e5f:151:147,primary,0.25,0264cfbeb1705e5f,Bridge-0.8_mts_8751,1.0,1.0,boundary,151,147,0.15410485895404236,87.54994184363181,87.70404670258586,92.96875,98.4375,1.6619869264189122,2.0941700805875225,primary:0264cfbeb1705e5f:151:147
primary:0264cfbeb1705e5f:155:159,primary,0.25,0264cfbeb1705e5f,Bridge-0.8_mts_8751,1.0,1.0,boundary,155,159,0.0046825483713206495,87.50954928650319,87.50486673813187,89.0625,96.09375,1.4782073247395613,1.898575527310824,primary:0264cfbeb1705e5f:155:159
primary:0264cfbeb1705e5f:2:24,primary,0.25,0264cfbeb1705e5f,GT,1.0,1.0,boundary,2,24,0.004286143710217516,87.69054266298949,87.68625651927927,79.6875,100.0,1.229528375793657,3.004572022421198,primary:0264cfbeb1705e5f:2:24
primary:0264cfbeb1705e5f:4:16,primary,0.25,0264cfbeb1705e5f,GT,1.0,1.0,boundary,4,16,0.014889683273196397,87.69296028654804,87.67807060327485,78.90625,100.0,1.2009883355371689,3.053750814429093,primary:0264cfbeb1705e5f:4:16
primary:0264cfbeb1705e5f:8:21,primary,0.25,0264cfbeb1705e5f,GT,1.0,1.0,boundary,8,21,0.01528626627627716,87.5015838328285,87.48629756655222,85.9375,100.0,1.3179300397494869,3.2103058027519427,primary:0264cfbeb1705e5f:8:21
primary:0264cfbeb1705e5f:9:12,primary,0.25,0264cfbeb1705e5f,GT,1.0,1.0,boundary,9,12,0.2181676162307724,87.77377054666434,87.99193816289511,89.0625,95.3125,1.4663739902387127,1.7604060153888343,primary:0264cfbeb1705e5f:9:12
primary:0264cfbeb1705e5f:13:25,primary,0.25,0264cfbeb1705e5f,GT,1.0,1.0,boundary,13,25,0.23619655477725132,87.78886176913615,88.0250583239134,86.71875,100.0,1.4032424582837537,5.2026501088144625,primary:0264cfbeb1705e5f:13:25
primary:0264cfbeb1705e5f:14:18,primary,0.25,0264cfbeb1705e5f,GT,1.0,1.0,boundary,14,18,0.17552361682739104,87.36176997745288,87.18624636062549,92.1875,98.4375,1.6057184798971118,2.1973216428330185,primary:0264cfbeb1705e5f:14:18
primary:0264cfbeb1705e5f:28:20,primary,0.25,0264cfbeb1705e5f,GT,1.0,1.0,boundary,28,20,0.010889327007660654,87.57264193915026,87.5617526121426,79.6875,100.0,1.2268707923449242,4.347145143775199,primary:0264cfbeb1705e5f:28:20
primary:0264cfbeb1705e5f:51:39,primary,0.25,0264cfbeb1705e5f,IL-native,1.0,1.0,boundary,51,39,0.1091588722969874,85.84125718177728,85.95041605407427,85.9375,98.4375,1.3255105433028798,2.0354019228527043,primary:0264cfbeb1705e5f:51:39
primary:0264cfbeb1705e5f:81:84,primary,0.25,0264cfbeb1705e5f,mts_8751,1.0,1.0,boundary,81,84,0.014969703848009885,87.32540411939299,87.340373823241,94.53125,98.4375,1.7354910765310017,2.0079508770685384,primary:0264cfbeb1705e5f:81:84
primary:0264cfbeb1705e5f:95:88,primary,0.25,0264cfbeb1705e5f,mts_8751,1.0,1.0,boundary,95,88,0.04194337773346035,87.2332610442664,87.27520442199986,92.1875,95.3125,1.615062968116067,1.826553797745178,primary:0264cfbeb1705e5f:95:88
primary:02ef12eeec9c5667:43:48,primary,0.25,02ef12eeec9c5667,IL-native,1.0,1.0,boundary,43,48,0.08083810199572383,97.31797552158645,97.39881362358217,57.03125,95.3125,1.0438058567886308,1.6475986306393797,primary:02ef12eeec9c5667:43:48
primary:0354be0727e25157:43:37,primary,0.25,0354be0727e25157,IL-native,1.0,1.0,boundary,43,37,0.108137326017399,98.79974518791984,98.90788251393724,69.53125,95.3125,1.1168575727566779,1.589191470674793,primary:0354be0727e25157:43:37
primary:03925cda82c35516:49:60,primary,0.25,03925cda82c35516,IL-native,1.0,1.0,boundary,49,60,0.22403836555078271,87.53180263473251,87.30776426918173,80.46875,97.65625,1.2525768342088461,2.850674422615981,primary:03925cda82c35516:49:60
primary:03925cda82c35516:50:52,primary,0.25,03925cda82c35516,IL-native,1.0,1.0,boundary,50,52,0.015527499359848207,88.74140062124906,88.7569281206089,76.5625,95.3125,1.1958070670614724,2.2499254491906124,primary:03925cda82c35516:50:52
primary:03d9c9a7f1655e53:51:62,primary,0.25,03d9c9a7f1655e53,IL-native,1.0,1.0,boundary,51,62,0.026890392907361615,87.68899036225163,87.66209996934427,73.4375,99.21875,1.1726773267178379,2.2332191232355867,primary:03d9c9a7f1655e53:51:62
primary:0424e5fd9a5c5e60:20:28,primary,0.25,0424e5fd9a5c5e60,GT,1.0,1.0,boundary,20,28,0.0010991684361840726,87.52982715379548,87.53092632223166,93.75,100.0,1.8936071322342194,4.764818836273979,primary:0424e5fd9a5c5e60:20:28
primary:0481ff72500154f2:188:176,primary,0.25,0481ff72500154f2,Bridge-0.2_apr_9145,1.0,1.0,boundary,188,176,0.0,100.0,100.0,89.0625,98.4375,2.047110527665068,3.877656104221385,primary:0481ff72500154f2:188:176
primary:0481ff72500154f2:160:172,primary,0.25,0481ff72500154f2,Bridge-0.2_grpo_9041,1.0,1.0,boundary,160,172,0.0,100.0,100.0,89.0625,97.65625,2.037470646403369,2.9743766023403566,primary:0481ff72500154f2:160:172
primary:0481ff72500154f2:33:37,primary,0.25,0481ff72500154f2,IL-native,1.0,1.0,boundary,33,37,0.0,100.0,100.0,64.84375,96.875,1.1108639518315433,2.791391456412564,primary:0481ff72500154f2:33:37
primary:0481ff72500154f2:34:43,primary,0.25,0481ff72500154f2,IL-native,1.0,1.0,boundary,34,43,0.0,100.0,100.0,61.71875,96.875,1.0904764800395554,2.828051061492907,primary:0481ff72500154f2:34:43
primary:04f77fbd6bf3505a:140:136,primary,0.25,04f77fbd6bf3505a,Bridge-0.2_mts_8692,1.0,1.0,boundary,140,136,0.18541049483252436,99.19432592038214,99.00891542554962,92.1875,96.875,1.4006208168154037,1.602567818398631,primary:04f77fbd6bf3505a:140:136
primary:04f77fbd6bf3505a:144:148,primary,0.25,04f77fbd6bf3505a,Bridge-0.2_mts_8751,1.0,1.0,boundary,144,148,0.01543730738566751,99.50279010774082,99.48735280035515,91.40625,96.09375,1.396553119610867,1.4917613656649096,primary:04f77fbd6bf3505a:144:148
primary:04f77fbd6bf3505a:41:57,primary,0.25,04f77fbd6bf3505a,IL-native,1.0,1.0,boundary,41,57,0.035483341792016176,98.90660657119193,98.87112322939991,59.375,96.875,1.0642928217569836,1.5317780838739536,primary:04f77fbd6bf3505a:41:57
primary:04f77fbd6bf3505a:44:53,primary,0.25,04f77fbd6bf3505a,IL-native,1.0,1.0,boundary,44,53,0.01354215787280566,98.98798537621927,98.97444321834647,82.8125,96.875,1.2231871738283506,1.9356300893955336,primary:04f77fbd6bf3505a:44:53
primary:04f77fbd6bf3505a:56:62,primary,0.25,04f77fbd6bf3505a,IL-native,1.0,1.0,boundary,56,62,0.1222933510952231,98.45791746504692,98.3356241139517,52.34375,96.875,1.024232267131478,1.7049062597249012,primary:04f77fbd6bf3505a:56:62
primary:0502652852d456e7:36:50,primary,0.25,0502652852d456e7,IL-native,1.0,1.0,boundary,36,50,0.21644093019064314,97.81561241860942,98.03205334880006,75.0,96.09375,1.2425283306562516,1.571840458628354,primary:0502652852d456e7:36:50
primary:0506b1697fb05337:48:54,primary,0.25,0506b1697fb05337,IL-native,1.0,1.0,boundary,48,54,0.0,58.333333333333336,58.333333333333336,89.0625,95.3125,1.3354698584071893,1.501466814803956,primary:0506b1697fb05337:48:54
primary:053ae221b0d351f5:144:152,primary,0.25,053ae221b0d351f5,Bridge-0.2_mts_8751,1.0,1.0,boundary,144,152,0.2128102532987839,83.54621957715244,83.33340932385366,75.0,97.65625,1.1660465645770421,1.7295283514887432,primary:053ae221b0d351f5:144:152
primary:053ae221b0d351f5:130:142,primary,0.25,053ae221b0d351f5,Bridge-0.6_mts_8692,1.0,1.0,boundary,130,142,0.026491096204551923,83.9554166249742,83.92892552876965,93.75,99.21875,1.627216071425346,1.9308483990751628,primary:053ae221b0d351f5:130:142
primary:05986621844f54a2:32:38,primary,0.25,05986621844f54a2,IL-native,1.0,0.0,boundary,32,38,0.0,0.0,0.0,50.78125,97.65625,1.0030660044387159,1.7230818017795546,primary:05986621844f54a2:32:38
primary:059fb1d0f20e58d6:33:47,primary,0.25,059fb1d0f20e58d6,IL-native,1.0,1.0,boundary,33,47,0.0,100.0,100.0,84.375,96.09375,1.2463281013504048,1.7583276334258404,primary:059fb1d0f20e58d6:33:47
primary:059fb1d0f20e58d6:35:62,primary,0.25,059fb1d0f20e58d6,IL-native,1.0,1.0,boundary,35,62,0.0,100.0,100.0,83.59375,96.09375,1.2340200799423284,1.742276453697929,primary:059fb1d0f20e58d6:35:62
primary:05f01335f6e15d86:161:165,primary,0.25,05f01335f6e15d86,Bridge-0.4_grpo_9041,1.0,1.0,boundary,161,165,0.09711093867218779,98.17627859330872,98.27338953198091,94.53125,95.3125,1.6396365285487526,1.7072875258532187,primary:05f01335f6e15d86:161:165
primary:05f01335f6e15d86:141:137,primary,0.25,05f01335f6e15d86,Bridge-0.4_mts_8692,1.0,1.0,boundary,141,137,0.02577726861419194,97.72933100861941,97.7551082772336,94.53125,95.3125,1.6419756242018337,1.6557465049336142,primary:05f01335f6e15d86:141:137
primary:05f01335f6e15d86:45:32,primary,0.25,05f01335f6e15d86,IL-native,1.0,1.0,boundary,45,32,0.03169761498237733,98.09708155964368,98.12877917462606,85.15625,95.3125,1.320098312592687,1.79353735287856,primary:05f01335f6e15d86:45:32
primary:05f01335f6e15d86:55:42,primary,0.25,05f01335f6e15d86,IL-native,1.0,1.0,boundary,55,42,0.22856648753054287,97.73819643481552,97.96676292234606,92.96875,97.65625,1.5911337597090411,2.0393838275502625,primary:05f01335f6e15d86:55:42
