pair_id,protocol,gap_limit,token,exact_source,NC,DAC,near_region,near_index,far_index,PDMS_gap,near_PDMS,far_PDMS,near_q,far_q,near_r_knn,far_r_knn,common_noise_key,near_diffusion_loss,far_diffusion_loss,delta_diffusion_loss,near_loss_t20,far_loss_t20,delta_loss_t20,near_loss_t50,far_loss_t50,delta_loss_t50,near_loss_t80,far_loss_t80,delta_loss_t80,near_E_rec,far_E_rec,delta_E_rec,near_return_rate,far_return_rate,delta_return_rate
primary:0056ae51961f5a18:29:13,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,29,13,0.0,100.0,100.0,94.53125,99.21875,2.4322852516539726,5.1050869470995135,primary:0056ae51961f5a18:29:13,0.0007592869,0.006010244,0.0052509573,0.00032672042,0.0027835222,0.002456802,4.6642206e-05,0.0003734629,0.0003268207,1.4049141e-05,3.930332e-05,2.5254178e-05,0.21543528,0.22824895,0.012813672,1.0,1.0,0.0
primary:0056ae51961f5a18:30:14,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,30,14,0.0,100.0,100.0,91.40625,99.21875,1.990367374246768,5.015300324559765,primary:0056ae51961f5a18:30:14,0.0034306908,0.011186867,0.0077561764,0.0006573405,0.0022843773,0.0016270368,8.703199e-05,0.00030728674,0.00022025475,2.0725627e-05,3.6073514e-05,1.5347887e-05,0.16312979,0.18429731,0.021167517,1.0,1.0,0.0
primary:0056ae51961f5a18:33:45,primary,0.25,0056ae51961f5a18,IL-native,1.0,1.0,boundary,33,45,0.0,100.0,100.0,68.75,99.21875,1.1438606250020935,4.965769300095363,primary:0056ae51961f5a18:33:45,0.000188275,0.00035179578,0.00016352079,0.00015517842,6.0792976e-05,-9.438545e-05,1.7335875e-05,1.7965405e-05,6.295304e-07,1.0869291e-05,1.4670188e-05,3.8008966e-06,0.12531862,0.18866499,0.06334637,1.0,0.8333333333333334,-0.16666666666666663
primary:005a44fa33b55e7b:160:168,primary,0.25,005a44fa33b55e7b,Bridge-0.2_grpo_9041,1.0,1.0,boundary,160,168,0.0,100.0,100.0,78.125,96.09375,1.165873108369896,1.815221440000476,primary:005a44fa33b55e7b:160:168,0.0005587849,0.00087982113,0.00032103626,0.00086530606,0.0016190425,0.0007537364,0.00024968624,0.00039545388,0.00014576764,0.00012367612,0.00014699122,2.3315108e-05,0.19356133,0.29094073,0.0973794,1.0,0.8333333333333334,-0.16666666666666663
primary:005a44fa33b55e7b:132:128,primary,0.25,005a44fa33b55e7b,Bridge-0.2_mts_8692,1.0,1.0,boundary,132,128,0.0,100.0,100.0,94.53125,95.3125,1.4571847178117356,1.5135974840944215,primary:005a44fa33b55e7b:132:128,0.00014731925,0.00014856583,1.2465753e-06,0.00049308385,0.0005027462,9.662355e-06,0.00031807122,0.00031917263,1.1014054e-06,0.00010638876,0.0001064644,7.5640855e-08,0.23058844,0.23371546,0.0031270236,1.0,1.0,0.0
primary:005a44fa33b55e7b:136:140,primary,0.25,005a44fa33b55e7b,Bridge-0.2_mts_8692,1.0,1.0,boundary,136,140,0.0,100.0,100.0,94.53125,95.3125,1.4216036711170357,1.478000335319235,primary:005a44fa33b55e7b:136:140,0.028069606,0.028449247,0.0003796406,0.0007515338,0.0007712621,1.9728323e-05,0.00023882493,0.00024180129,2.9763614e-06,7.154642e-05,7.205801e-05,5.1158713e-07,0.19721071,0.20013885,0.0029281378,1.0,1.0,0.0
primary:005a44fa33b55e7b:152:144,primary,0.25,005a44fa33b55e7b,Bridge-0.2_mts_8751,1.0,1.0,boundary,152,144,0.0,100.0,100.0,94.53125,95.3125,1.4379057017157912,1.5367963824379824,primary:005a44fa33b55e7b:152:144,0.00035034324,0.00035783654,7.493305e-06,0.00095726136,0.0009825934,2.5332032e-05,0.00037540315,0.0003810371,5.6339486e-06,8.838295e-05,8.929407e-05,9.111245e-07,0.23695053,0.23854764,0.0015971065,0.8333333333333334,0.8333333333333334,0.0
primary:005a44fa33b55e7b:33:44,primary,0.25,005a44fa33b55e7b,IL-native,1.0,1.0,boundary,33,44,0.0,100.0,100.0,85.9375,98.4375,1.2657094655443295,2.400589116460404,primary:005a44fa33b55e7b:33:44,0.00057525316,0.0008353569,0.00026010373,0.0007184974,0.0008312322,0.00011273479,0.00022050226,0.0002653966,4.4894347e-05,7.397184e-05,8.0320744e-05,6.348906e-06,0.25217965,0.41844377,0.16626412,0.8333333333333334,0.3333333333333333,-0.5
primary:006cbccbfae95262:33:36,primary,0.25,006cbccbfae95262,IL-native,1.0,1.0,boundary,33,36,0.0,100.0,100.0,53.90625,97.65625,1.0214405066095735,1.5564614624340016,primary:006cbccbfae95262:33:36,9.418478e-05,8.0130936e-05,-1.4053847e-05,0.00039320614,0.00030630376,-8.690238e-05,0.000100377845,9.1974216e-05,-8.403629e-06,3.7343772e-05,3.6120007e-05,-1.2237651e-06,0.21679531,0.24203731,0.025242,0.8333333333333334,0.8333333333333334,0.0
primary:006cbccbfae95262:34:38,primary,0.25,006cbccbfae95262,IL-native,1.0,1.0,boundary,34,38,0.0,100.0,100.0,63.28125,97.65625,1.0815955189079511,1.5599477643274935,primary:006cbccbfae95262:34:38,0.00090452627,0.0013649106,0.00046038436,0.0003001751,0.00024530676,-5.4868346e-05,5.3356056e-05,5.5639117e-05,2.283061e-06,1.29908785e-05,1.7224334e-05,4.233456e-06,0.26010412,0.33470073,0.07459661,1.0,0.8333333333333334,-0.16666666666666663
primary:006cbccbfae95262:37:62,primary,0.25,006cbccbfae95262,IL-native,1.0,1.0,boundary,37,62,0.0,100.0,100.0,67.1875,100.0,1.1187545688148333,2.06613173357121,primary:006cbccbfae95262:37:62,0.0048011206,0.007209695,0.0024085743,0.00035010776,0.0006663094,0.00031620162,5.971911e-05,0.000120565506,6.0846396e-05,3.0287592e-05,4.0131694e-05,9.844101e-06,0.21687192,0.29659632,0.0797244,1.0,1.0,0.0
primary:007505437ed45b53:132:140,primary,0.25,007505437ed45b53,Bridge-0.2_mts_8692,1.0,1.0,boundary,132,140,0.1236336330058947,81.90158441429594,81.77795078129004,93.75,95.3125,1.488984438822527,1.5773717809257166,primary:007505437ed45b53:132:140,0.00014203583,0.00012648807,-1.5547761e-05,0.00042165225,0.00037550577,-4.614648e-05,6.714513e-05,6.6045875e-05,-1.0992517e-06,3.12435e-05,3.5018176e-05,3.7746759e-06,0.15162568,0.14948714,-0.0021385401,1.0,1.0,0.0
primary:007505437ed45b53:148:144,primary,0.25,007505437ed45b53,Bridge-0.2_mts_8751,1.0,1.0,boundary,148,144,0.0028866629116919,81.79668101275726,81.79956767566895,93.75,95.3125,1.5248828889585284,1.621293975749144,primary:007505437ed45b53:148:144,0.0006807505,0.0006801798,-5.707261e-07,0.00055800757,0.0005575165,-4.910398e-07,4.8099297e-05,4.842649e-05,3.2719254e-07,2.2382323e-05,2.2399334e-05,1.7011189e-08,0.13595667,0.13944694,0.0034902692,1.0,1.0,0.0
primary:007505437ed45b53:33:44,primary,0.25,007505437ed45b53,IL-native,1.0,1.0,boundary,33,44,0.1658138219073492,81.17775886023217,81.01194503832482,80.46875,100.0,1.1533745749679971,2.287515988767049,primary:007505437ed45b53:33:44,0.00018608227,0.000267184,8.110172e-05,0.00014762004,0.0002465275,9.890745e-05,7.024188e-05,8.0629936e-05,1.0388059e-05,2.141319e-05,2.5025325e-05,3.6121346e-06,0.15586537,0.1906842,0.034818828,0.8333333333333334,0.8333333333333334,0.0
primary:007505437ed45b53:45:40,primary,0.25,007505437ed45b53,IL-native,1.0,1.0,boundary,45,40,0.0687258636351799,81.35919770381362,81.29047184017844,85.9375,95.3125,1.2536354990778216,1.6216525801182078,primary:007505437ed45b53:45:40,0.0012906647,0.0010846996,-0.00020596501,0.00019711525,0.00020519052,8.075265e-06,5.912428e-05,6.0506492e-05,1.3822137e-06,3.389467e-05,3.597826e-05,2.0835905e-06,0.1486947,0.20332481,0.054630116,1.0,1.0,0.0
primary:008a9f9434c75b99:34:36,primary,0.25,008a9f9434c75b99,IL-native,1.0,1.0,boundary,34,36,0.0,100.0,100.0,83.59375,96.875,1.1653376754990838,1.4240956105202274,primary:008a9f9434c75b99:34:36,0.00018892744,0.0002471435,5.8216057e-05,0.00021332997,0.00012528506,-8.804491e-05,3.453972e-05,7.133592e-05,3.67962e-05,1.6530292e-05,1.5600142e-05,-9.301493e-07,0.17824416,0.2410652,0.062821046,1.0,0.8333333333333334,-0.16666666666666663
primary:008a9f9434c75b99:35:38,primary,0.25,008a9f9434c75b99,IL-native,1.0,1.0,boundary,35,38,0.0,100.0,100.0,72.65625,95.3125,1.0911946035451638,1.3404223401825122,primary:008a9f9434c75b99:35:38,0.0018904287,0.0030403952,0.0011499665,0.00040934805,0.00031620363,-9.314442e-05,0.00013528275,8.254608e-05,-5.2736672e-05,2.526462e-05,2.403374e-05,-1.230881e-06,0.1948845,0.24046618,0.045581684,1.0,0.8333333333333334,-0.16666666666666663
primary:008a9f9434c75b99:37:43,primary,0.25,008a9f9434c75b99,IL-native,1.0,1.0,boundary,37,43,0.0,100.0,100.0,83.59375,98.4375,1.1488224111217322,1.5720377889241797,primary:008a9f9434c75b99:37:43,5.652559e-05,6.9525886e-05,1.3000295e-05,0.0005712785,0.00072293833,0.00015165983,0.00016556925,0.00018185811,1.6288861e-05,1.09526045e-05,1.0005543e-05,-9.470614e-07,0.14064895,0.20508404,0.064435095,1.0,1.0,0.0
primary:008a9f9434c75b99:40:48,primary,0.25,008a9f9434c75b99,IL-native,1.0,1.0,boundary,40,48,0.0,100.0,100.0,58.59375,100.0,1.0251052891529109,2.3520366662357093,primary:008a9f9434c75b99:40:48,0.00039573078,0.0013128067,0.00091707596,0.00024489846,0.00028857085,4.3672393e-05,7.771648e-05,3.603871e-05,-4.1677773e-05,1.0263933e-05,1.4083897e-05,3.819964e-06,0.20306797,0.25728518,0.054217204,0.8333333333333334,0.6666666666666666,-0.16666666666666674
primary:00bbc908bd5758e6:148:144,primary,0.25,00bbc908bd5758e6,Bridge-0.2_mts_8751,1.0,1.0,boundary,148,144,0.0,100.0,100.0,94.53125,96.09375,1.6269809202818404,1.7015184749429515,primary:00bbc908bd5758e6:148:144,0.00028809535,0.00028652305,-1.5723053e-06,0.0006351338,0.00063290243,-2.2313907e-06,6.855371e-05,6.8522546e-05,-3.1162926e-08,1.3223818e-05,1.3240882e-05,1.706394e-08,0.3874291,0.388859,0.0014299154,0.8333333333333334,0.8333333333333334,0.0
primary:00bbc908bd5758e6:152:156,primary,0.25,00bbc908bd5758e6,Bridge-0.2_mts_8751,1.0,1.0,boundary,152,156,0.0,100.0,100.0,92.96875,96.09375,1.5110169417341028,1.6917606665530536,primary:00bbc908bd5758e6:152:156,0.0002400626,0.0004231397,0.00018307709,0.0003964506,0.0006177116,0.00022126097,3.263954e-05,5.3943117e-05,2.1303578e-05,5.8275537e-06,6.3849634e-06,5.5740975e-07,0.20342374,0.29755855,0.09413481,1.0,1.0,0.0
primary:00bbc908bd5758e6:138:130,primary,0.25,00bbc908bd5758e6,Bridge-0.6_mts_8692,1.0,1.0,boundary,138,130,0.0,100.0,100.0,91.40625,97.65625,1.4837146347099592,1.9061727643606052,primary:00bbc908bd5758e6:138:130,4.3203072e-05,7.2537805e-05,2.9334733e-05,5.0807314e-05,0.00010337694,5.2569623e-05,2.2829694e-05,3.376432e-05,1.0934627e-05,1.0676427e-05,1.1603095e-05,9.266678e-07,0.15413478,0.1882525,0.034117714,1.0,1.0,0.0
primary:01034b2411ce5ea0:133:129,primary,0.25,01034b2411ce5ea0,Bridge-0.4_mts_8692,1.0,1.0,boundary,133,129,0.0814265105978648,89.54986429766946,89.63129080826732,89.0625,95.3125,1.2124242397803178,1.322646673342595,primary:01034b2411ce5ea0:133:129,0.0021598425,0.0032301813,0.0010703388,0.00045882643,0.00043827615,-2.0550273e-05,5.607016e-05,5.705907e-05,9.889118e-07,4.1712192e-05,4.3720633e-05,2.0084408e-06,0.11265695,0.14714551,0.03448856,1.0,1.0,0.0
primary:01034b2411ce5ea0:155:151,primary,0.25,01034b2411ce5ea0,Bridge-0.8_mts_8751,1.0,1.0,boundary,155,151,0.0003974810033753,89.560576640083,89.56097412108637,93.75,96.875,1.3005356890298236,1.404764343256218,primary:01034b2411ce5ea0:155:151,0.00014954635,0.00014770828,-1.838067e-06,0.00052072847,0.00051976414,-9.643263e-07,0.00010918998,0.00011068916,1.4991747e-06,4.047359e-05,4.0479143e-05,5.5515557e-09,0.1324368,0.13636525,0.0039284527,0.8333333333333334,0.8333333333333334,0.0
primary:019cfd828c3f5b7c:63:60,primary,0.25,019cfd828c3f5b7c,IL-native,1.0,1.0,boundary,63,60,0.0742226111724448,95.61838144975955,95.692604060932,92.96875,98.4375,1.7175938334355458,2.311746839605401,primary:019cfd828c3f5b7c:63:60,7.9460704e-05,9.8120734e-05,1.866003e-05,0.00030947002,0.00038494685,7.5476826e-05,3.8860868e-05,4.5435714e-05,6.5748463e-06,1.6568854e-05,1.8505572e-05,1.936718e-06,0.28665528,0.3099781,0.02332282,0.8333333333333334,0.6666666666666666,-0.16666666666666674
primary:022fef6d66485384:145:149,primary,0.25,022fef6d66485384,Bridge-0.4_mts_8751,1.0,1.0,boundary,145,149,0.1111340990412941,91.8656464868526,91.7545123878113,90.625,96.09375,1.4985075998739203,1.8209890489458345,primary:022fef6d66485384:145:149,0.014574094,0.014196089,-0.0003780052,0.00016093829,0.00019044423,2.9505944e-05,2.779091e-05,3.0320465e-05,2.5295558e-06,9.184547e-06,8.361425e-06,-8.231218e-07,0.1223621,0.13078667,0.008424573,1.0,1.0,0.0
primary:022fef6d66485384:0:9,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,0,9,0.1135307096385673,91.87794608822124,91.76441537858268,90.625,95.3125,1.491081215922694,1.733623105583854,primary:022fef6d66485384:0:9,8.3287916e-05,5.385685e-05,-2.9431067e-05,0.00019641913,0.00013220288,-6.421625e-05,2.9392679e-05,2.153005e-05,-7.862629e-06,1.7347618e-05,1.665664e-05,-6.909777e-07,0.09691322,0.10128456,0.004371345,1.0,1.0,0.0
primary:022fef6d66485384:1:15,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,1,15,0.0224491103984831,91.86244830855256,91.83999919815408,92.1875,98.4375,1.546917272752503,2.425207265750731,primary:022fef6d66485384:1:15,0.00044184938,0.0009895491,0.00054769975,0.0002985445,0.0010281533,0.0007296088,6.527323e-05,0.00015485844,8.958521e-05,2.4044764e-05,2.7729506e-05,3.6847414e-06,0.13809992,0.15486293,0.016763002,1.0,1.0,0.0
primary:022fef6d66485384:2:16,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,2,16,0.0214695246524883,92.0054724202408,92.02694194489328,90.625,100.0,1.4838475595606706,4.04342863203402,primary:022fef6d66485384:2:16,0.00028930313,0.00071450125,0.00042519812,0.00031647732,0.0018060547,0.0014895773,0.00012236802,0.00021871773,9.6349715e-05,2.4157474e-05,3.1100815e-05,6.943341e-06,0.14207482,0.19664092,0.0545661,1.0,1.0,0.0
primary:022fef6d66485384:3:11,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,3,11,0.0436664156989508,91.84316764618178,91.79950123048285,93.75,98.4375,1.5748000061485046,2.0794884613583524,primary:022fef6d66485384:3:11,0.0009194692,0.0025197512,0.001600282,0.00081679947,0.0020039883,0.0011871888,2.9634353e-05,0.000119472315,8.9837966e-05,1.6522627e-05,2.9817842e-05,1.32952155e-05,0.19035889,0.19775009,0.0073911995,1.0,1.0,0.0
primary:022fef6d66485384:5:10,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,5,10,0.0002564235267215,91.88005821530396,91.88031463883068,89.0625,98.4375,1.4305438177096363,2.5311379003242878,primary:022fef6d66485384:5:10,0.008200483,0.08221389,0.07401341,0.00013216604,0.0032794215,0.0031472554,1.9393268e-05,0.00037972745,0.00036033418,8.194545e-06,4.9268638e-05,4.107409e-05,0.18323429,0.19893317,0.01569888,0.8333333333333334,0.8333333333333334,0.0
primary:022fef6d66485384:6:20,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,6,20,0.1326378941228085,91.91877925940103,92.05141715352386,93.75,100.0,1.6444569781037666,5.217412268705666,primary:022fef6d66485384:6:20,0.0021744024,0.08824924,0.08607484,0.00014458182,0.011249175,0.011104593,2.4678702e-05,0.0013362863,0.0013116077,1.3863122e-05,0.0001527254,0.00013886229,0.194492,0.25986716,0.065375164,1.0,1.0,0.0
primary:022fef6d66485384:7:14,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,7,14,0.1272542768216453,91.53783100726685,91.4105767304452,93.75,98.4375,1.6276425848111218,2.026846045300639,primary:022fef6d66485384:7:14,0.00011813352,8.045563e-05,-3.7677884e-05,0.00038231188,0.00025358427,-0.00012872761,2.4898627e-05,2.0183925e-05,-4.7147023e-06,1.165787e-05,1.1001348e-05,-6.565224e-07,0.18098004,0.19690375,0.015923709,1.0,1.0,0.0
primary:022fef6d66485384:8:18,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,8,18,0.1582620612105358,91.9340745305715,92.09233659178204,92.1875,99.21875,1.505914037008139,3.3568492982791693,primary:022fef6d66485384:8:18,0.00012744169,0.0013483199,0.0012208782,0.00018429017,0.0020614928,0.0018772027,3.88893e-05,0.00024233927,0.00020344998,1.450136e-05,3.9749924e-05,2.5248564e-05,0.19493361,0.22611345,0.031179845,1.0,1.0,0.0
primary:022fef6d66485384:12:25,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,12,25,0.0015551126773374,92.51549150363256,92.51393639095524,90.625,100.0,1.4738404581959974,7.842111551635296,primary:022fef6d66485384:12:25,0.00021007992,0.018041115,0.017831035,0.00028572796,0.03748226,0.037196532,6.2029416e-05,0.004254605,0.004192576,1.4986646e-05,0.0004459779,0.00043099126,0.17710058,0.3247126,0.14761202,1.0,0.8333333333333334,-0.16666666666666663
primary:022fef6d66485384:27:24,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,27,24,0.2483813006858213,91.750410709443,91.50202940875718,92.96875,100.0,1.5691208477366645,6.379003487033047,primary:022fef6d66485384:27:24,3.2084463e-05,0.00013933313,0.00010724867,0.0005018969,0.004917542,0.0044156453,4.9515602e-05,0.00059471524,0.0005451996,1.4555803e-05,6.957613e-05,5.5020322e-05,0.18248785,0.26431522,0.08182737,1.0,1.0,0.0
primary:022fef6d66485384:29:21,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,29,21,0.1806221038736026,91.78825100300428,91.60762889913067,93.75,100.0,1.5761584963414228,5.900429736971303,primary:022fef6d66485384:29:21,0.00504095,0.03917716,0.03413621,0.00039473886,0.008835027,0.008440288,9.776168e-05,0.0012088355,0.0011110739,1.1575302e-05,0.00010999474,9.841944e-05,0.2030588,0.26850003,0.065441236,1.0,1.0,0.0
primary:022fef6d66485384:31:13,primary,0.25,022fef6d66485384,GT,1.0,1.0,boundary,31,13,0.131084106857628,91.83640312271146,91.70531901585385,94.53125,98.4375,1.7048235196711476,2.1307694436575253,primary:022fef6d66485384:31:13,0.00038982666,0.0009292309,0.0005394042,0.000971173,0.002125872,0.0011546991,0.0001448484,0.0002976004,0.000152752,1.9734764e-05,3.292702e-05,1.3192255e-05,0.14614786,0.15130834,0.0051604807,1.0,1.0,0.0
primary:023664205ae95402:150:154,primary,0.25,023664205ae95402,Bridge-0.6_mts_8751,1.0,1.0,boundary,150,154,0.1695559320949229,89.81617301134574,89.64661707925082,89.84375,96.09375,1.4434079619010587,1.7288496203642894,primary:023664205ae95402:150:154,3.88195e-05,4.2400563e-05,3.5810626e-06,0.000118713346,0.00012791605,9.202704e-06,1.8676234e-05,2.0754094e-05,2.0778607e-06,6.4533606e-06,6.3173547e-06,-1.3600584e-07,0.3346592,0.34455958,0.009900391,0.8333333333333334,0.8333333333333334,0.0
primary:023664205ae95402:0:6,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,0,6,0.00290718545547,89.63086119233587,89.63376837779134,67.1875,96.09375,1.098746463608838,1.7487798310583105,primary:023664205ae95402:0:6,2.0286501e-05,3.7232312e-05,1.694581e-05,0.00017866673,0.00028006188,0.000101395155,1.4605021e-05,2.9650953e-05,1.5045933e-05,8.141031e-06,1.059587e-05,2.454839e-06,0.31734356,0.32072413,0.0033805668,1.0,1.0,0.0
primary:023664205ae95402:2:20,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,2,20,0.0029077477821033,89.70300011470202,89.70590786248412,56.25,100.0,1.0387210383207826,5.006230919287406,primary:023664205ae95402:2:20,4.6807654e-05,0.021752752,0.021705944,0.00011722223,0.012345858,0.012228636,3.116231e-05,0.001499143,0.0014679807,1.7999973e-05,0.00018034846,0.00016234849,0.21717846,0.29879135,0.081612885,1.0,1.0,0.0
primary:023664205ae95402:3:11,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,3,11,0.0018806209097164,89.62582594939201,89.62394532848229,58.59375,96.09375,1.0613271500869874,1.9840930702898012,primary:023664205ae95402:3:11,7.705826e-05,0.00053737126,0.000460313,0.00018246383,0.0006743411,0.00049187726,1.9791703e-05,7.2734285e-05,5.294258e-05,7.927728e-06,1.2351966e-05,4.424238e-06,0.1705193,0.17780028,0.0072809756,1.0,1.0,0.0
primary:023664205ae95402:4:15,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,4,15,0.0006761746750214,89.64657912901632,89.64725530369134,56.25,99.21875,1.03833620949488,2.287465362293294,primary:023664205ae95402:4:15,5.6768265e-05,0.0006871961,0.00063042785,0.00011605094,0.0024178592,0.0023018082,1.5174655e-05,0.00029214617,0.00027697152,1.08590575e-05,3.7072532e-05,2.6213474e-05,0.22239129,0.2406141,0.018222809,1.0,1.0,0.0
primary:023664205ae95402:5:16,primary,0.25,023664205ae95402,GT,1.0,1.0,boundary,5,16,0.0056368213673607,89.63331489886257,89.63895172022993,68.75,100.0,1.1277984986296314,4.099757641745397,primary:023664205ae95402:5:16,0.00091516343,0.0047729146,0.0038577511,0.00032680796,0.0018522068,0.0015253988,4.1124138e-05,0.0002088985,0.00016777437,6.369336e-06,2.5159163e-05,1.8789826e-05,0.21000169,0.2518478,0.04184611,1.0,1.0,0.0
