token,eligible,global_front2,conditional_front2
e34f51206f0e53db,35,0,2
5da31ca5ce165787,30,30,30
9a90853892925989,84,84,84
09c3d9dbca6455e5,50,50,50
42231e5449d3576a,0,0,0
bf78c475adfb5eb1,52,52,52
2fbab9ffc3fe5a5d,30,30,30
7fe6e7ce9cb7559d,42,42,42
ebb4d3e033ae55e2,45,0,2
f1d60841a46d53a5,51,0,2
8419b5d5eab75027,35,0,2
9c16cb6c4f94521c,16,16,16
35e2f788f41851c0,44,0,2
54d3068f889b58ee,32,0,2
e1ee982450c85213,39,0,2
4a8b4dff75c15a8a,21,21,21
1819e1b106b354ad,34,0,2
4ecdbea836725622,32,0,2
b9bcc9d0efaf5c7e,29,29,29
253b856b49ef52d2,44,0,2
68e39232887c5e4a,25,0,2
2e2bb8bb71265998,33,0,2
e34a1f5fb71c54da,57,0,2
1d10ae25c61f50c4,55,55,55
2af1778054cf51a4,30,0,2
0f276bab4fa85df0,25,0,2
6cc16446dbe45353,42,0,2
26043d2de718532d,32,32,32
e72eb72ebdc25a8a,32,32,32
c852239b5ac95394,38,0,2
3c297001ef2d5acb,0,0,0
123b77fa26425ac1,41,0,2
f97414b6f4a15866,0,0,0
957d3c9491ba5b5b,38,0,2
0c9d055f4ccc5d64,29,0,2
cbaf3221997c55be,37,0,2
a02463c8a92d56ce,41,41,41
d91a4c7d1d9e5647,30,0,2
742b1d2c6cf156c6,33,0,2
8b3e9121fd57540f,29,0,2
bdf3b83064235e17,30,30,30
ab000bda9ccf5150,65,65,65
e165b9b4eb5f5cf4,29,29,29
dcb23119258e58ec,26,0,2
f0328bdcd0e15d3a,40,0,2
c6538928de9c552b,32,0,2
56da0490b78b5033,27,0,2
8fc454e70d1554b7,72,41,41
3eceeb425c3a560b,29,0,2
5e7d1f34a80c5e46,29,29,29
ef4f3026ae1b56a3,63,0,2
d92fd7e6c01d503b,36,36,36
1381f484e75c565a,49,0,2
7b79090489c95c0b,31,0,2
f0d107fb359953ff,29,0,2
e0c845f2d87555b3,32,32,32
9e454d3b139c5a3d,30,30,30
468894d189a75353,33,33,33
9252ad8efde85a85,42,19,20
d99a3bc24ff75a68,31,31,31
1d45b9d20e9d5f92,39,0,2
39fc09d325a05606,31,0,2
75341958391d5aba,31,31,31
e65ea4e886535732,32,0,2
a9134306f1575f88,28,28,28
3609537de0105997,15,0,2
90c4cd28f0e55d46,26,26,26
8a022198e6885aed,26,0,2
f6f213b156de552d,29,0,2
1cb9fa36aea25d6a,46,46,46
e15983da12955abf,39,0,2
8635030755615376,30,0,2
86fbc624ea435e56,34,34,34
66e564907f5f5601,0,0,0
808ff2e869ff5d92,29,0,2
1b53682e2df854e1,62,0,2
dd175b6e08565a4e,41,0,2
8e475454489d5f5b,33,0,2
dc2d27a848115b56,38,0,2
3783e56bc9ef5e85,36,0,2
d45a215505f05382,28,0,2
4775f8e1a53d5c6f,24,24,24
802c127f63f955ed,28,0,2
f102259e52d35ac5,30,0,2
db5aa5f382f25aaa,72,0,2
598efc24965e57ba,69,69,69
3e83f47571b05337,30,30,30
f36236f06fb556a0,31,0,2
ed717de405885939,30,0,2
a8b0833c7a065b81,37,37,37
f426002d6e275e78,28,28,28
3382fe7a030150df,28,0,2
a0283fb79a975f2c,27,0,2
45e7e76381d85846,35,35,35
9cac2a2e22c25964,31,2,2
f86b2f13b23d5470,42,0,2
6e5e2d80ec915e15,27,0,2
b5d7c17fe5375141,22,13,14
bae3d8ac0ee85cad,31,31,31
4833c4f6d87f5021,30,30,30
a507cbf8c4055960,34,0,2
331e21d3c8d65bae,34,0,2
c5f7460ee0da513a,32,0,2
7eb9b36921b25d5b,40,2,2
8d76cc7ca097546b,28,28,28
7b20cfb388a15b3d,34,0,2
87a04f063e505051,29,29,29
e4fda5ede9c657f1,38,1,2
163693e2ba175db3,48,26,26
007505437ed45b53,36,0,2
b1199a48987b5f73,35,0,2
a1bcc195c8e85f37,29,3,3
99c663a7b4e15514,31,0,2
2b9bcbd586b55042,34,0,2
113b14c30cc25989,63,63,63
b37b1679fd745ac9,28,0,2
a4b7b2795e615efb,34,0,2
c75edb67a65b5a33,0,0,0
fbec1eb4b33955e2,41,0,2
c1ae700926d4577c,33,0,2
eba5b88270db545e,0,0,0
0481ff72500154f2,38,38,38
70d9d2c73e4155d4,32,0,2
685c110d6a615ff8,32,32,32
b1483be2f1e35882,32,32,32
de0fb293bb4859e7,37,0,2
335528f321b45d88,55,55,55
e5ba0fd6afc15419,44,44,44
07bd6c8c7de152a6,45,45,45
0b9f2aceebbf5003,29,29,29
e8991ab64afb5db6,31,31,31
66c135a6ec7f53c4,31,31,31
1fe597d0fb1454dc,35,0,2
fefa00cc3fe65b70,31,1,2
fddb21da30bb54c2,31,31,31
aceba8d21dfe5d03,28,0,2
ac940ab1e16558e9,29,29,29
4ac0a91fc4dd5ca9,0,0,0
cdec4cc7781e5d4d,15,15,15
01034b2411ce5ea0,52,0,2
fb7f5f4fd1a25f13,31,31,31
dcea502e05ca5eb5,42,0,2
28b79e32839a543b,32,32,32
2b07bad4bce156cd,34,34,34
66d778b97714583a,50,50,50
a8c9f51e547a5fed,26,0,2
7a0635b7942859c6,30,0,2
84b13f58e18551a8,30,30,30
87ec42ef94f75f0c,13,13,13
feae0b42dda25c87,44,44,44
b663343f65cd5e92,32,32,32
71495dbc0a3255dc,36,0,2
244f412a59375c65,29,0,2
5c1f98237d1852b9,28,28,28
9eddebd4be385650,28,0,2
b53636b863815077,31,0,2
1ef92a1e554b567c,28,28,28
019cfd828c3f5b7c,33,0,2
55a649760430531d,30,0,2
377d9bb5bb125691,39,0,2
a40383b62c8b5f0a,32,32,32
6822dc0570565ef4,31,0,2
6b5978b04dc85323,34,0,2
28c5133d23575e81,27,0,2
0726ca723042500c,68,12,12
e1b339d45b635f03,31,0,2
60e4b765d65a534a,36,0,2
cb8ed00b6b6e5650,37,0,2
f11aede9f6665b09,34,0,2
8ae2f982585058f2,28,0,2
ee81b62009285462,32,32,32
8783e69e8b9d5d5c,34,0,2
9566c9689988532d,28,0,2
a49f197b94e15a20,30,0,2
d4b1d28cb67b5618,26,0,2
9fd73df50f1d5a2b,37,0,2
40bdcf910bed5013,57,57,57
c72fac839d7b5bdf,80,2,2
23cb188abddf5851,46,0,2
a488a24ace4e5a0e,33,33,33
a2e11073e3025626,35,35,35
56df5b5a7f8d5964,62,0,2
9f7eb558c5125bca,50,0,2
b7520d4aabdb522f,41,41,41
c97d721af0475e45,42,0,2
2c87600ce5a15f76,32,0,2
5d0d7322ddea55ce,30,0,2
fad3b25206405469,29,0,2
117be7ce4bae59d9,29,0,2
36f37eab352d5150,38,38,38
ada4bd96b21350f3,40,40,40
116f3217b5875595,34,34,34
2ce54722e81a5726,43,43,43
f0e8b02b16cc5161,37,37,37
4db513bb187a5415,29,1,2
f679ed3e8e975575,29,13,14
bc9f53029a6b5c52,30,30,30
8fcd3f59e5d35e62,29,0,2
895b56e6e7d1506f,31,31,31
f22f6cb0966f5ddf,31,2,3
8d16e85f8f505b74,37,0,2
3e58b4e75b4d5910,0,0,0
a68174740e5d53d2,40,0,2
9c83725ca24453f5,30,30,30
af80a080342354b5,42,42,42
7592a60634a65972,33,0,2
312f7d68b7845c0f,34,34,34
2ad520fb925f5ace,34,0,2
d69754f18e1b5816,31,0,2
1514fa6cda205491,36,36,36
65c6face44dc5242,37,37,37
116b808c2f825f23,94,0,2
0502652852d456e7,29,0,2
d139b76f0b1e5791,37,0,2
e6a85ef20b3054c4,31,31,31
d2b1e07b5d38547e,32,0,2
56faab1d1228542e,33,0,2
a5aa2c07692a5f9b,29,29,29
ccb3b418f0a45229,47,47,47
9e326c77e25f526d,5,0,2
a11285de52f553a7,47,0,2
b3b328a0d89255ea,0,0,0
ab7c0c62ea5d56df,0,0,0
822b5a4a2e075ace,32,0,2
6ee8095e2d8b599c,31,28,28
e536a7424867539d,29,29,29
228bc7a51ce85114,30,1,2
b386322960ff5784,29,0,2
1779dc029c945352,27,27,27
e66f72e612d05320,37,0,2
8a7b81e3d8ec589e,31,0,2
79d01df5793f5d1a,27,0,2
78273a4b69465c1f,31,31,31
e9c9a2873a275365,38,38,38
063ebdc4cd7e5bd9,39,0,2
40b18724a90f5919,32,32,32
7f6ac29877365766,53,0,2
2617f0cd70705817,37,37,37
9356731128d95d59,35,0,2
d68f1142da63586f,31,0,2
8c4982f5d16e51a8,30,0,2
75b56424b7eb5ac6,47,47,47
12264b570ba358e9,33,0,2
2320cdddd8465622,29,29,29
5fec23f5a5d052cd,32,0,2
a3d8003852145a71,32,29,29
fadbd438f57e5612,34,0,2
23ba8f4aee055e34,32,0,2
edf80e77e2e65098,37,0,2
ec646e4956125fcf,29,0,2
9069684898175278,34,0,2
c83e41bd3afa534c,43,0,2
c3fa71763867515b,20,14,15
43916f0a6f7f5717,36,0,2
e8bd03529c905c16,35,35,35
130e725a1594571f,47,0,2
03d9c9a7f1655e53,31,0,2
3c84060e9d245ad7,48,0,2
440da7a31b255ef9,0,0,0
8deb3aea4c075024,34,34,34
fa72914538895375,37,37,37
095453a7aea65260,30,0,2
b5a136c8bff95db6,36,36,36
16cf679d9cd35d85,29,0,2
0424e5fd9a5c5e60,36,0,2
97de4a69dec65c80,29,0,2
e5a8e75d4450516b,43,0,2
4669e83db7965ed0,31,0,2
00bbc908bd5758e6,42,42,42
97f64f5b130055b0,28,0,2
101da9987c395ba4,30,0,2
e20db842c987530f,31,0,2
d14c834404a75404,62,62,62
b20465ed49f953d3,41,0,2
f6741cbf60265367,26,0,2
4df92e2616c75be7,35,0,2
b3a6f577c20d5eb3,30,30,30
d7c39e8608e25e88,30,0,2
db42252e1f655f26,37,37,37
b4375fa743295bd8,33,0,2
5b620dbb3b4d5892,34,0,2
9a78f0e3d0335345,0,0,0
576835726a7c57d4,31,0,2
23c842d3f001597a,37,0,2
db4611f3cf8a5db7,66,0,2
bed1f99d06215f1b,33,0,2
770e1697a0255dc8,43,0,2
339d5c1111125971,30,0,2
4a5cb683d82059f0,32,0,2
6be7246860e057c8,46,46,46
4c31e06f0fc858a0,40,0,2
ac2dfd95a1e55c5e,41,0,2
664b084487e05ba0,34,17,17
b4206de96b755fb8,30,13,13
2fd40c15042e53d4,31,31,31
fc2be4c9cc135538,35,35,35
9ac1e7123b245486,30,0,4
bca73d6fa8f85d39,30,30,30
f57d194633ae5571,42,42,42
99d1ae48071a5aec,27,0,2
008a9f9434c75b99,28,28,28
dc89cd046c135fae,39,0,2
b5d3d18e7d115933,30,0,2
7da1df98fb8e5af0,28,28,28
af816d6041dd5257,34,23,24
ec765c8fe97a51bd,31,0,2
4c188096aeb950bc,30,0,2
392e034cb2a55053,0,0,0
be6fe40f664154d7,38,0,2
a400f271c6cd51f6,30,30,30
e93e621b5e14563f,0,0,0
2e976da85a8b5e5b,35,0,2
2f4462b637dc5044,31,0,2
b548689d07d15535,45,0,2
f696561dbf6055df,31,0,2
7bb8d2878b1f53cb,40,0,2
bff852b39f62557d,31,0,2
b940d77be0d45ec9,51,0,2
5050ddd89f6850ea,58,58,58
31c9a3082fa15d55,30,30,30
48f80f817e0656d9,31,0,2
602d680df54553a2,45,45,45
cc8872f4a1fb5895,31,0,2
09d7ac879b745ba7,56,0,2
1f22c13b337250e8,31,31,31
df16f52f5bea51cc,28,28,28
de8c2538d4305d9d,31,0,2
9c7f841d11e6542d,7,0,2
89a7b788217c5f67,30,30,30
3d53eff55b2855c2,42,2,2
8fb50dd1fb5552df,35,35,35
1dda1a63c5735182,34,33,34
006cbccbfae95262,33,33,33
cea771061cb25651,29,0,2
053ae221b0d351f5,42,0,2
edfca2d846ee5acf,76,0,2
278907212b495e23,30,0,2
449f34ad438e59d2,33,33,33
8c1a989cd94c5c12,33,33,33
48d4fcc3437755a8,32,0,2
13f740d88bf75471,37,2,2
8eb1bf4722515ad3,37,0,2
21249a2d4eb25ed6,41,41,41
3d44a52acf525ec7,35,35,35
9fad4614acc251d6,26,0,2
727278e9914354b1,38,38,38
9d722cf10d7f5bd1,0,0,0
14d0749e1fc85004,21,2,2
ee05069c50295595,35,35,35
5e7dad82583e5536,31,0,2
2c772a570884587c,53,53,53
aee904e6c2c35a90,44,0,2
0264cfbeb1705e5f,75,0,2
279ff8e3850c54e2,83,0,2
7c767d74b5fb5b5e,37,0,2
5daaf9b25cb558f9,31,31,31
864f5df8a94a508e,42,0,2
df51d2fef8c25f56,32,32,32
ac5b4b33a03c57fe,35,35,35
99adfd4cd925504d,32,0,2
1cba0de871fc5bfb,34,34,34
f84ac4472da55b91,33,0,2
bcc74e9eaae05ca4,33,0,2
4fe8a056f88154d5,30,0,2
16ff52ac5d085cac,29,0,2
584a14a3e42050c4,38,0,2
4a5834900788560a,30,0,2
e6046882cf485f3a,31,0,2
873f4bc746a55d13,31,31,31
96886b2d240e5275,74,1,2
190b153cfd3b5302,53,1,2
e1b0455379fd5adf,39,39,39
a801ebe0c8a55faf,30,30,30
8caca31e4dc357be,34,0,2
a8263f179cca558d,36,36,36
22dddd249c8e5fe4,28,0,2
bcd578c19d9857ea,30,0,2
c4c0b5cb93d85645,36,0,2
0fae6a22120d5bc2,31,31,31
9d67b6d20a0256c3,27,27,27
548d6bf7b63459e7,29,0,2
0f44c6e6440654d0,40,40,40
85fb576381c15527,32,32,32
d79d2c9951f35626,32,0,2
980c4467fdf156c4,0,0,0
11ceee170b09535e,30,30,30
c550cadc4a515e6b,31,0,2
4fdf21ae819f5cf9,52,52,52
9af521b071b75ede,32,32,32
94fd2d5eaaff5125,31,0,2
3bfe55c892ef5093,0,0,0
76c61e8e77975178,31,31,31
6aa0f931a89f5d9a,32,32,32
7f3aa59671c45291,44,44,44
c17be2d2a6f65008,2,2,2
f6d7cbb8505f5782,37,37,37
59b4fffb7aef599d,0,0,0
5c722cde25ba50d9,34,34,34
248aeb1af182529b,33,0,2
8dff3247e7415c0d,0,0,0
df244d376fd85a93,29,5,6
06f781885ea25f20,29,0,2
dabc9a6d5e755758,56,0,2
666ee535a52a5acc,35,35,35
afe0ef0cd35b57f7,31,0,2
b7d4e7ebc5c75968,33,0,2
bc5eb52653bc5031,31,0,2
6793006a7d995092,33,33,33
9e7acfb214dd58eb,31,31,31
6cda2f0cbda156bd,29,0,2
beea15c8657d59a2,36,0,2
1971c4278e675b9d,30,0,2
c7009bf1a2025be7,31,0,2
c37c94fa634f5265,32,0,2
caaf3bef91ac58a3,30,2,2
89c4479f74c05538,54,54,54
7f35bb1a29c1549f,30,30,30
b46befc3e5a756ec,29,1,2
f06dec0352685bd7,30,0,2
9956d04c0d275e7d,41,41,41
edb7e230c20f542a,1,0,1
bbe9d736a2595720,26,0,2
8f7d5b80e1f85c3c,32,0,2
3c9433a90ab05621,29,29,29
b37c26e5cdf853d5,34,34,34
6dfe97d2aff95bf6,29,0,2
9e66bc21c0d4507d,29,29,29
121fdf5f01785268,32,0,2
9349bacb4a225ae3,40,0,2
704c2533b66353b5,32,0,2
4ffc3aacc76d5d43,31,0,2
ea808fbdaf2a5375,31,31,31
e47dc9b07dd857a3,2,0,2
0d38caf0c7c650e8,36,0,2
3ac61ac2f2b652b7,39,38,38
0d9f56cc8fa15657,31,31,31
296345c58a77547f,38,0,2
94e9664fcf2d5f9e,48,48,48
a880ac22dd045d21,37,0,2
5b3770f00cb55569,30,0,2
36c5c837df3259f8,31,0,2
665c2a0c88735b1f,30,30,30
24d4a97bf17f5883,32,32,32
acb286057ba859da,32,32,32
4f0df6de49515352,32,0,2
482b5439cb6c5350,49,49,49
a84fec66330e5157,30,0,2
02ef12eeec9c5667,31,0,2
076f5a91273050e6,55,55,55
a566b5f3bd0c5522,27,0,2
fe1348a14b7f5fda,41,41,41
cf430322beb852ca,39,0,2
05986621844f54a2,0,0,0
37ab6257bb545b45,31,0,2
1526e5b224665c7e,30,0,2
66df470c3c2c5b62,46,46,46
ce800a53730f5ae7,38,0,2
7ff20da52e205bf0,34,0,2
9c9fd38ec0485088,30,0,2
ec90c27de29a594c,32,0,2
86c52dfec8425716,33,0,2
0f54c1a676a954ce,12,12,12
a86e7f16bd64596a,14,14,14
cb397fd17507594b,32,0,2
c84f1984d6e459d4,31,31,31
8b744d45e7945aa5,31,31,31
68f3beae8cd25dba,40,0,2
aff2feebf9cb5afb,31,31,31
6e7bf5900d7f594f,32,0,2
7da6b01adf435bd5,27,0,2
4934fe6008f8564b,36,0,2
c0c2ed50261f54e5,30,0,2
0cb726068f4d5c59,33,33,33
fead2572a884512c,39,38,39
c82e95254649534e,33,33,33
2581d16dc1aa557e,31,1,2
74356ec7c3d15e10,36,0,2
a77cad5e29a5585e,55,0,2
711cc9425e2f5aff,30,30,30
2314cd5f97c5596c,38,0,2
dc932b3cf2ba5b1b,45,0,2
675f0d4dff9c5318,30,30,30
9fe72fe991c859f0,69,0,2
f6a1a2760a7b57a4,3,0,2
6176348b971f52c5,32,32,32
1decf76c77be59c8,43,43,43
91e6cce9eb7d5765,35,0,2
d360abe45ec55059,33,0,2
45cace6f6d275159,32,0,2
9551d9bffa515426,42,42,42
6f95e882286e5388,34,0,2
fcc0457324f15902,35,35,35
aa58d1ab2faa5746,48,48,48
5d711f77d42054d6,35,0,2
fa00af6ecc8a5cb4,47,0,2
bf6158f005f956ae,30,0,2
67b08ea8fc9956b0,43,43,43
5cfcccdb3e3c539b,31,0,2
288f0194b6d45858,42,0,2
4094b79867cd5f7b,31,0,2
abd994ef714a595c,30,30,30
4668501db7065e02,35,35,35
289087a782995ef0,42,42,42
0eea4103d56352dd,78,78,78
b790a763e1ee538e,29,0,2
6ca255559e0350a5,29,0,2
6848c7497a065ae0,24,0,2
8a5bb66e9bb65101,29,0,2
4fa6a8e71f4a5984,44,0,2
77ded26c7a9654ad,30,0,2
5d83ddd5ec3c5326,30,2,2
7a03013d34b355c1,36,0,2
0b2061c2aced52de,32,0,2
945dcb42cd645cc2,77,0,2
66d5a6841d835e3a,61,0,2
1035d1c56f0f5ba9,39,0,2
98ad6d2817355b99,37,37,37
293fd2580df350a8,30,30,30
6864977b221059e4,26,0,2
161154cbf4245a3d,32,1,2
023664205ae95402,76,1,2
cd07f4279fa35240,41,0,2
7ae1fa9094f355c5,31,31,31
b7b9f31751e459f0,31,0,2
94cf3d2feed759ac,32,32,32
9f4e94fa77b555dd,41,41,41
5985ea459f145e5c,46,0,2
624789926abe5dac,68,68,68
adb657c849df5d9e,30,30,30
095f95bdbf1054d0,30,30,30
d117940fcb945ac1,30,0,2
ef023f6f394f5be8,32,0,2
451631b82dd757e4,34,34,34
b25e5caac7645be6,31,0,2
277898ef740c5ab1,48,48,48
de94e95519d85f21,24,0,2
cec9570f9fd3504b,0,0,0
654a0ce9f6305cee,31,31,31
672173aac8685233,0,0,0
74bf7898a5565ef7,27,0,2
4393df900c6557cb,40,40,40
059fb1d0f20e58d6,29,29,29
b76fdedd0d1d5f46,30,30,30
005a44fa33b55e7b,0,0,0
cdf23d07ec42535e,64,0,2
5bb0b67e360f5a85,2,0,2
d5b5493184c257bd,49,49,49
a85370bd50145fbc,89,81,82
6b0de122978c5d6c,76,0,2
9257645ceccb550b,36,36,36
5d03327b42d153b1,32,0,2
f53ce90fba735a76,29,0,2
89ba731076de572c,29,0,2
d49e1049666e5596,35,0,2
30e1141fbb1e5009,37,0,2
377ceb5650355d8b,37,0,2
93aa103155cd5295,31,31,31
1dbae60fb78c532a,27,0,2
50fefa46fcc855fb,35,35,35
baef6630583c5f87,47,0,2
8b0773eaa2375bbf,31,0,2
80e2038fd0555030,34,0,2
d341827e6b485782,40,40,40
d6f1d7ade74c5d53,31,31,31
0827c1c05e0e5596,1,1,1
e9cd4fda706e5516,42,42,42
bae5037e472250dc,30,0,2
3e7e4bd1053d5d92,0,0,0
bc6cd32ccb1b5427,30,30,30
a4c4b9cae9f356bb,26,0,2
1e8cca8760da5948,37,0,2
c7e306be08105b70,43,0,2
26e0f72c031b5f07,29,29,29
56e525076cab5f42,29,29,29
4ce4021236435fc2,29,0,2
3ae8bec3c87f599a,38,0,2
de9dfb594099510e,40,34,35
ba1ace8df74d5f7b,0,0,0
502320eeaec55d1f,29,0,2
2dd169c11ca55cf5,34,0,2
14bd7947aab75ae6,33,33,33
3acaadb297b15413,29,2,2
4667b479001e52d3,38,0,2
7f15d26426a65449,0,0,0
70fb14aa330a5e1a,53,53,53
390944a5467b51c5,36,36,36
de37d906807d5da4,30,30,30
9ed0f61a7d9551dd,37,0,2
772bea477f415d7e,40,40,40
cf05fb873d635a08,26,0,2
6ef435e921f9538a,34,34,34
e60a241cf8df5ae6,39,0,2
430843d30f9258ed,38,0,2
05f01335f6e15d86,43,2,2
4be639c52c2656db,30,30,30
3f67a285648156d8,32,0,2
d193c14478495b74,32,2,2
be62b590e24a520d,30,0,2
ee2a0378652e53d0,37,0,2
adf177418b8a5f6f,30,30,30
8ba72029d7d75a0c,50,50,50
a893fc739c0b567c,70,70,70
ade775b8413358d6,0,0,0
cf26456f21fc55cc,30,30,30
f5134ec4baf153c9,61,0,2
09961e24208b5972,33,33,33
7e6335968cbb5318,29,0,2
ac20d4e2400c58a9,33,0,2
f503e5d4f2815027,85,82,82
43df192ed9125ff3,28,28,28
b63a589b5dcf521d,34,34,34
0996ce03d2325a75,31,0,2
