token,stage,count
467bbee636b65c84,raw,192
467bbee636b65c84,hard_safety,190
467bbee636b65c84,compatible,28
467bbee636b65c84,quality,23
467bbee636b65c84,local,23
467bbee636b65c84,global_front2,0
467bbee636b65c84,conditional_front2,2
4f6409df56a85592,raw,192
4f6409df56a85592,hard_safety,190
4f6409df56a85592,compatible,28
4f6409df56a85592,quality,15
4f6409df56a85592,local,15
4f6409df56a85592,global_front2,1
4f6409df56a85592,conditional_front2,2
16ddb1838af755e3,raw,192
16ddb1838af755e3,hard_safety,188
16ddb1838af755e3,compatible,45
16ddb1838af755e3,quality,39
16ddb1838af755e3,local,39
16ddb1838af755e3,global_front2,0
16ddb1838af755e3,conditional_front2,2
2ce59f70a15b5ddf,raw,192
2ce59f70a15b5ddf,hard_safety,192
2ce59f70a15b5ddf,compatible,33
2ce59f70a15b5ddf,quality,33
2ce59f70a15b5ddf,local,33
2ce59f70a15b5ddf,global_front2,33
2ce59f70a15b5ddf,conditional_front2,33
461fb854eaa3583e,raw,192
461fb854eaa3583e,hard_safety,192
461fb854eaa3583e,compatible,32
461fb854eaa3583e,quality,32
461fb854eaa3583e,local,32
461fb854eaa3583e,global_front2,32
461fb854eaa3583e,conditional_front2,32
8b800af555d35794,raw,192
8b800af555d35794,hard_safety,192
8b800af555d35794,compatible,41
8b800af555d35794,quality,41
8b800af555d35794,local,41
8b800af555d35794,global_front2,41
8b800af555d35794,conditional_front2,41
2ab1b3941f7153cb,raw,192
2ab1b3941f7153cb,hard_safety,192
2ab1b3941f7153cb,compatible,48
2ab1b3941f7153cb,quality,25
2ab1b3941f7153cb,local,25
2ab1b3941f7153cb,global_front2,0
2ab1b3941f7153cb,conditional_front2,2
4bc510a669d8549f,raw,192
4bc510a669d8549f,hard_safety,191
4bc510a669d8549f,compatible,36
4bc510a669d8549f,quality,31
4bc510a669d8549f,local,10
4bc510a669d8549f,global_front2,3
4bc510a669d8549f,conditional_front2,3
3387bab95d41528a,raw,192
3387bab95d41528a,hard_safety,192
3387bab95d41528a,compatible,30
3387bab95d41528a,quality,21
3387bab95d41528a,local,21
3387bab95d41528a,global_front2,21
3387bab95d41528a,conditional_front2,21
e5acc98f52f458cc,raw,192
e5acc98f52f458cc,hard_safety,192
e5acc98f52f458cc,compatible,36
e5acc98f52f458cc,quality,35
e5acc98f52f458cc,local,35
e5acc98f52f458cc,global_front2,0
e5acc98f52f458cc,conditional_front2,2
3e9026530c475726,raw,192
3e9026530c475726,hard_safety,188
3e9026530c475726,compatible,30
3e9026530c475726,quality,22
3e9026530c475726,local,22
3e9026530c475726,global_front2,0
3e9026530c475726,conditional_front2,2
2ae0a44cc4de5c4a,raw,192
2ae0a44cc4de5c4a,hard_safety,192
2ae0a44cc4de5c4a,compatible,41
2ae0a44cc4de5c4a,quality,41
2ae0a44cc4de5c4a,local,41
2ae0a44cc4de5c4a,global_front2,41
2ae0a44cc4de5c4a,conditional_front2,41
cc94486698ff58d1,raw,192
cc94486698ff58d1,hard_safety,191
cc94486698ff58d1,compatible,47
cc94486698ff58d1,quality,25
cc94486698ff58d1,local,25
cc94486698ff58d1,global_front2,0
cc94486698ff58d1,conditional_front2,2
969763763ce754a4,raw,192
969763763ce754a4,hard_safety,192
969763763ce754a4,compatible,32
969763763ce754a4,quality,32
969763763ce754a4,local,32
969763763ce754a4,global_front2,32
969763763ce754a4,conditional_front2,32
ff6ab495a139534e,raw,192
ff6ab495a139534e,hard_safety,192
ff6ab495a139534e,compatible,32
ff6ab495a139534e,quality,23
ff6ab495a139534e,local,23
ff6ab495a139534e,global_front2,0
ff6ab495a139534e,conditional_front2,2
70248e0bb43a503b,raw,192
70248e0bb43a503b,hard_safety,192
70248e0bb43a503b,compatible,43
70248e0bb43a503b,quality,43
70248e0bb43a503b,local,43
70248e0bb43a503b,global_front2,43
70248e0bb43a503b,conditional_front2,43
2a2403c9b08b53ac,raw,192
2a2403c9b08b53ac,hard_safety,192
2a2403c9b08b53ac,compatible,36
2a2403c9b08b53ac,quality,22
2a2403c9b08b53ac,local,22
2a2403c9b08b53ac,global_front2,0
2a2403c9b08b53ac,conditional_front2,2
854169aa74e95251,raw,192
854169aa74e95251,hard_safety,191
854169aa74e95251,compatible,32
854169aa74e95251,quality,18
854169aa74e95251,local,18
854169aa74e95251,global_front2,0
854169aa74e95251,conditional_front2,2
93a9927586995095,raw,192
93a9927586995095,hard_safety,192
93a9927586995095,compatible,30
93a9927586995095,quality,30
93a9927586995095,local,30
93a9927586995095,global_front2,30
93a9927586995095,conditional_front2,30
af62d866653053f6,raw,192
af62d866653053f6,hard_safety,192
af62d866653053f6,compatible,28
af62d866653053f6,quality,17
af62d866653053f6,local,17
af62d866653053f6,global_front2,0
af62d866653053f6,conditional_front2,2
17d296a87fb45380,raw,192
17d296a87fb45380,hard_safety,192
17d296a87fb45380,compatible,38
17d296a87fb45380,quality,24
17d296a87fb45380,local,24
17d296a87fb45380,global_front2,0
17d296a87fb45380,conditional_front2,2
5370751917315916,raw,192
5370751917315916,hard_safety,192
5370751917315916,compatible,30
5370751917315916,quality,30
5370751917315916,local,30
5370751917315916,global_front2,30
5370751917315916,conditional_front2,30
adaf33e4ba555709,raw,192
adaf33e4ba555709,hard_safety,190
adaf33e4ba555709,compatible,30
adaf33e4ba555709,quality,22
adaf33e4ba555709,local,22
adaf33e4ba555709,global_front2,0
adaf33e4ba555709,conditional_front2,2
1aa0acb229945e9b,raw,192
1aa0acb229945e9b,hard_safety,192
1aa0acb229945e9b,compatible,31
1aa0acb229945e9b,quality,22
1aa0acb229945e9b,local,22
1aa0acb229945e9b,global_front2,0
1aa0acb229945e9b,conditional_front2,2
fad9e78a17825042,raw,192
fad9e78a17825042,hard_safety,192
fad9e78a17825042,compatible,30
fad9e78a17825042,quality,20
fad9e78a17825042,local,20
fad9e78a17825042,global_front2,0
fad9e78a17825042,conditional_front2,2
4eaf32face4b5ece,raw,192
4eaf32face4b5ece,hard_safety,192
4eaf32face4b5ece,compatible,30
4eaf32face4b5ece,quality,30
4eaf32face4b5ece,local,30
4eaf32face4b5ece,global_front2,30
4eaf32face4b5ece,conditional_front2,30
2db045daf25c5bb7,raw,192
2db045daf25c5bb7,hard_safety,189
2db045daf25c5bb7,compatible,30
2db045daf25c5bb7,quality,24
2db045daf25c5bb7,local,24
2db045daf25c5bb7,global_front2,0
2db045daf25c5bb7,conditional_front2,2
b23f3d728c08529f,raw,192
b23f3d728c08529f,hard_safety,192
b23f3d728c08529f,compatible,53
b23f3d728c08529f,quality,53
b23f3d728c08529f,local,53
b23f3d728c08529f,global_front2,53
b23f3d728c08529f,conditional_front2,53
dc76a771066b5553,raw,192
dc76a771066b5553,hard_safety,192
dc76a771066b5553,compatible,31
dc76a771066b5553,quality,21
dc76a771066b5553,local,21
dc76a771066b5553,global_front2,0
dc76a771066b5553,conditional_front2,2
d76b0458667c59a2,raw,192
d76b0458667c59a2,hard_safety,192
d76b0458667c59a2,compatible,31
d76b0458667c59a2,quality,31
d76b0458667c59a2,local,31
d76b0458667c59a2,global_front2,31
d76b0458667c59a2,conditional_front2,31
8cf3b1868b2f5262,raw,192
8cf3b1868b2f5262,hard_safety,189
8cf3b1868b2f5262,compatible,31
8cf3b1868b2f5262,quality,25
8cf3b1868b2f5262,local,25
8cf3b1868b2f5262,global_front2,7
8cf3b1868b2f5262,conditional_front2,8
990bd9b32e5d5f60,raw,192
990bd9b32e5d5f60,hard_safety,188
990bd9b32e5d5f60,compatible,39
990bd9b32e5d5f60,quality,28
990bd9b32e5d5f60,local,28
990bd9b32e5d5f60,global_front2,1
990bd9b32e5d5f60,conditional_front2,2
6320ecb991675a39,raw,192
6320ecb991675a39,hard_safety,192
6320ecb991675a39,compatible,30
6320ecb991675a39,quality,26
6320ecb991675a39,local,26
6320ecb991675a39,global_front2,0
6320ecb991675a39,conditional_front2,2
66243e185353563a,raw,192
66243e185353563a,hard_safety,192
66243e185353563a,compatible,29
66243e185353563a,quality,20
66243e185353563a,local,20
66243e185353563a,global_front2,0
66243e185353563a,conditional_front2,2
cde84b97e6505437,raw,192
cde84b97e6505437,hard_safety,192
cde84b97e6505437,compatible,32
cde84b97e6505437,quality,29
cde84b97e6505437,local,29
cde84b97e6505437,global_front2,0
cde84b97e6505437,conditional_front2,2
d968f9c81b945be1,raw,192
d968f9c81b945be1,hard_safety,192
d968f9c81b945be1,compatible,42
d968f9c81b945be1,quality,42
d968f9c81b945be1,local,42
d968f9c81b945be1,global_front2,42
d968f9c81b945be1,conditional_front2,42
0a87bb919dbb58b6,raw,192
0a87bb919dbb58b6,hard_safety,192
0a87bb919dbb58b6,compatible,30
0a87bb919dbb58b6,quality,22
0a87bb919dbb58b6,local,22
0a87bb919dbb58b6,global_front2,0
0a87bb919dbb58b6,conditional_front2,2
fe5811497ace53af,raw,192
fe5811497ace53af,hard_safety,192
fe5811497ace53af,compatible,37
fe5811497ace53af,quality,31
fe5811497ace53af,local,31
fe5811497ace53af,global_front2,0
fe5811497ace53af,conditional_front2,2
1734440b807a58ef,raw,192
1734440b807a58ef,hard_safety,191
1734440b807a58ef,compatible,30
1734440b807a58ef,quality,23
1734440b807a58ef,local,23
1734440b807a58ef,global_front2,0
1734440b807a58ef,conditional_front2,2
480434fc72d455af,raw,192
480434fc72d455af,hard_safety,192
480434fc72d455af,compatible,40
480434fc72d455af,quality,33
480434fc72d455af,local,0
480434fc72d455af,global_front2,0
480434fc72d455af,conditional_front2,0
cb8e247140d55ab2,raw,192
cb8e247140d55ab2,hard_safety,189
cb8e247140d55ab2,compatible,36
cb8e247140d55ab2,quality,26
cb8e247140d55ab2,local,26
cb8e247140d55ab2,global_front2,0
cb8e247140d55ab2,conditional_front2,2
095770e79ccf5d82,raw,192
095770e79ccf5d82,hard_safety,192
095770e79ccf5d82,compatible,34
095770e79ccf5d82,quality,34
095770e79ccf5d82,local,34
095770e79ccf5d82,global_front2,34
095770e79ccf5d82,conditional_front2,34
d7f25a0ac141583a,raw,192
d7f25a0ac141583a,hard_safety,190
d7f25a0ac141583a,compatible,33
d7f25a0ac141583a,quality,21
d7f25a0ac141583a,local,21
d7f25a0ac141583a,global_front2,0
d7f25a0ac141583a,conditional_front2,2
4b0df2804f165dda,raw,192
4b0df2804f165dda,hard_safety,192
4b0df2804f165dda,compatible,70
4b0df2804f165dda,quality,64
4b0df2804f165dda,local,64
4b0df2804f165dda,global_front2,0
4b0df2804f165dda,conditional_front2,2
ab6ba1da1dd8592b,raw,192
ab6ba1da1dd8592b,hard_safety,192
ab6ba1da1dd8592b,compatible,29
ab6ba1da1dd8592b,quality,22
ab6ba1da1dd8592b,local,22
ab6ba1da1dd8592b,global_front2,7
ab6ba1da1dd8592b,conditional_front2,7
3feb7781f83754a7,raw,192
3feb7781f83754a7,hard_safety,192
3feb7781f83754a7,compatible,31
3feb7781f83754a7,quality,31
3feb7781f83754a7,local,31
3feb7781f83754a7,global_front2,31
3feb7781f83754a7,conditional_front2,31
6f471ee76c595c92,raw,192
6f471ee76c595c92,hard_safety,192
6f471ee76c595c92,compatible,49
6f471ee76c595c92,quality,49
6f471ee76c595c92,local,49
6f471ee76c595c92,global_front2,49
6f471ee76c595c92,conditional_front2,49
32516745ea1b59ef,raw,192
32516745ea1b59ef,hard_safety,192
32516745ea1b59ef,compatible,43
32516745ea1b59ef,quality,30
32516745ea1b59ef,local,30
32516745ea1b59ef,global_front2,1
32516745ea1b59ef,conditional_front2,2
a65dd6d24f575771,raw,192
a65dd6d24f575771,hard_safety,192
a65dd6d24f575771,compatible,30
a65dd6d24f575771,quality,22
a65dd6d24f575771,local,22
a65dd6d24f575771,global_front2,0
a65dd6d24f575771,conditional_front2,2
9ce305abb88f5ad0,raw,192
9ce305abb88f5ad0,hard_safety,192
9ce305abb88f5ad0,compatible,31
9ce305abb88f5ad0,quality,22
9ce305abb88f5ad0,local,22
9ce305abb88f5ad0,global_front2,0
9ce305abb88f5ad0,conditional_front2,2
7af6867add5b5f2c,raw,192
7af6867add5b5f2c,hard_safety,192
7af6867add5b5f2c,compatible,32
7af6867add5b5f2c,quality,28
7af6867add5b5f2c,local,28
7af6867add5b5f2c,global_front2,0
7af6867add5b5f2c,conditional_front2,2
b65e09c4d8125da0,raw,192
b65e09c4d8125da0,hard_safety,192
b65e09c4d8125da0,compatible,29
b65e09c4d8125da0,quality,28
b65e09c4d8125da0,local,28
b65e09c4d8125da0,global_front2,0
b65e09c4d8125da0,conditional_front2,2
cbe1e93e188f5490,raw,192
cbe1e93e188f5490,hard_safety,192
cbe1e93e188f5490,compatible,37
cbe1e93e188f5490,quality,24
cbe1e93e188f5490,local,24
cbe1e93e188f5490,global_front2,2
cbe1e93e188f5490,conditional_front2,2
6ca6a1a4f3dc5d85,raw,192
6ca6a1a4f3dc5d85,hard_safety,192
6ca6a1a4f3dc5d85,compatible,28
6ca6a1a4f3dc5d85,quality,22
6ca6a1a4f3dc5d85,local,22
6ca6a1a4f3dc5d85,global_front2,0
6ca6a1a4f3dc5d85,conditional_front2,2
0ee58e583be85ffb,raw,192
0ee58e583be85ffb,hard_safety,192
0ee58e583be85ffb,compatible,65
0ee58e583be85ffb,quality,26
0ee58e583be85ffb,local,26
0ee58e583be85ffb,global_front2,0
0ee58e583be85ffb,conditional_front2,2
a28a2771a9fa5c1d,raw,192
a28a2771a9fa5c1d,hard_safety,192
a28a2771a9fa5c1d,compatible,33
a28a2771a9fa5c1d,quality,33
a28a2771a9fa5c1d,local,33
a28a2771a9fa5c1d,global_front2,33
a28a2771a9fa5c1d,conditional_front2,33
488e4248a8985e5a,raw,192
488e4248a8985e5a,hard_safety,190
488e4248a8985e5a,compatible,31
488e4248a8985e5a,quality,31
488e4248a8985e5a,local,31
488e4248a8985e5a,global_front2,31
488e4248a8985e5a,conditional_front2,31
0beb530925b9514b,raw,192
0beb530925b9514b,hard_safety,192
0beb530925b9514b,compatible,45
0beb530925b9514b,quality,45
0beb530925b9514b,local,45
0beb530925b9514b,global_front2,45
0beb530925b9514b,conditional_front2,45
29b53c57c19b57fe,raw,192
29b53c57c19b57fe,hard_safety,192
29b53c57c19b57fe,compatible,35
29b53c57c19b57fe,quality,25
29b53c57c19b57fe,local,25
29b53c57c19b57fe,global_front2,0
29b53c57c19b57fe,conditional_front2,2
2639525675535145,raw,192
2639525675535145,hard_safety,192
2639525675535145,compatible,48
2639525675535145,quality,42
2639525675535145,local,42
2639525675535145,global_front2,34
2639525675535145,conditional_front2,34
9a83782a2cf85611,raw,192
9a83782a2cf85611,hard_safety,192
9a83782a2cf85611,compatible,40
9a83782a2cf85611,quality,27
9a83782a2cf85611,local,27
9a83782a2cf85611,global_front2,0
9a83782a2cf85611,conditional_front2,2
cd01f21ff39d541a,raw,192
cd01f21ff39d541a,hard_safety,192
cd01f21ff39d541a,compatible,31
cd01f21ff39d541a,quality,31
cd01f21ff39d541a,local,31
cd01f21ff39d541a,global_front2,31
cd01f21ff39d541a,conditional_front2,31
facaaf8c0e8c5c65,raw,192
facaaf8c0e8c5c65,hard_safety,192
facaaf8c0e8c5c65,compatible,29
facaaf8c0e8c5c65,quality,29
facaaf8c0e8c5c65,local,29
facaaf8c0e8c5c65,global_front2,29
facaaf8c0e8c5c65,conditional_front2,29
88757fb00fda507b,raw,192
88757fb00fda507b,hard_safety,192
88757fb00fda507b,compatible,31
88757fb00fda507b,quality,27
88757fb00fda507b,local,27
88757fb00fda507b,global_front2,0
88757fb00fda507b,conditional_front2,2
e9f4daa7d910568c,raw,192
e9f4daa7d910568c,hard_safety,192
e9f4daa7d910568c,compatible,31
e9f4daa7d910568c,quality,24
e9f4daa7d910568c,local,24
e9f4daa7d910568c,global_front2,0
e9f4daa7d910568c,conditional_front2,2
d6bb0cea4dbd5b44,raw,192
d6bb0cea4dbd5b44,hard_safety,189
d6bb0cea4dbd5b44,compatible,30
d6bb0cea4dbd5b44,quality,23
d6bb0cea4dbd5b44,local,23
d6bb0cea4dbd5b44,global_front2,0
d6bb0cea4dbd5b44,conditional_front2,2
efad2708409b5834,raw,192
efad2708409b5834,hard_safety,191
efad2708409b5834,compatible,30
efad2708409b5834,quality,30
efad2708409b5834,local,30
efad2708409b5834,global_front2,30
efad2708409b5834,conditional_front2,30
3a4cfdd4bfa55a5e,raw,192
3a4cfdd4bfa55a5e,hard_safety,192
3a4cfdd4bfa55a5e,compatible,33
3a4cfdd4bfa55a5e,quality,25
3a4cfdd4bfa55a5e,local,25
3a4cfdd4bfa55a5e,global_front2,0
3a4cfdd4bfa55a5e,conditional_front2,2
e926ec6a69cc575c,raw,192
e926ec6a69cc575c,hard_safety,192
e926ec6a69cc575c,compatible,35
e926ec6a69cc575c,quality,33
e926ec6a69cc575c,local,33
e926ec6a69cc575c,global_front2,0
e926ec6a69cc575c,conditional_front2,2
b6093d9c703e54b1,raw,192
b6093d9c703e54b1,hard_safety,192
b6093d9c703e54b1,compatible,30
b6093d9c703e54b1,quality,30
b6093d9c703e54b1,local,30
b6093d9c703e54b1,global_front2,30
b6093d9c703e54b1,conditional_front2,30
d58eb13402485ae7,raw,192
d58eb13402485ae7,hard_safety,192
d58eb13402485ae7,compatible,30
d58eb13402485ae7,quality,30
d58eb13402485ae7,local,30
d58eb13402485ae7,global_front2,30
d58eb13402485ae7,conditional_front2,30
f1aa5d5ed7c65114,raw,192
f1aa5d5ed7c65114,hard_safety,192
f1aa5d5ed7c65114,compatible,33
f1aa5d5ed7c65114,quality,30
f1aa5d5ed7c65114,local,30
f1aa5d5ed7c65114,global_front2,0
f1aa5d5ed7c65114,conditional_front2,2
4ea3d4068eda5cc5,raw,192
4ea3d4068eda5cc5,hard_safety,187
4ea3d4068eda5cc5,compatible,32
4ea3d4068eda5cc5,quality,22
4ea3d4068eda5cc5,local,22
4ea3d4068eda5cc5,global_front2,0
4ea3d4068eda5cc5,conditional_front2,2
6c0dbda0d8e45ae9,raw,192
6c0dbda0d8e45ae9,hard_safety,191
6c0dbda0d8e45ae9,compatible,56
6c0dbda0d8e45ae9,quality,56
6c0dbda0d8e45ae9,local,56
6c0dbda0d8e45ae9,global_front2,56
6c0dbda0d8e45ae9,conditional_front2,56
b4322d76ebf8569f,raw,192
b4322d76ebf8569f,hard_safety,192
b4322d76ebf8569f,compatible,31
b4322d76ebf8569f,quality,25
b4322d76ebf8569f,local,25
b4322d76ebf8569f,global_front2,0
b4322d76ebf8569f,conditional_front2,2
acfc271e3c3d58fa,raw,192
acfc271e3c3d58fa,hard_safety,192
acfc271e3c3d58fa,compatible,30
acfc271e3c3d58fa,quality,22
acfc271e3c3d58fa,local,22
acfc271e3c3d58fa,global_front2,0
acfc271e3c3d58fa,conditional_front2,2
b222df74b8155735,raw,192
b222df74b8155735,hard_safety,192
b222df74b8155735,compatible,40
b222df74b8155735,quality,33
b222df74b8155735,local,33
b222df74b8155735,global_front2,0
b222df74b8155735,conditional_front2,2
415d6cd62f3b5c1c,raw,192
415d6cd62f3b5c1c,hard_safety,192
415d6cd62f3b5c1c,compatible,30
415d6cd62f3b5c1c,quality,30
415d6cd62f3b5c1c,local,30
415d6cd62f3b5c1c,global_front2,30
415d6cd62f3b5c1c,conditional_front2,30
b28e9b2fa67452a7,raw,192
b28e9b2fa67452a7,hard_safety,192
b28e9b2fa67452a7,compatible,34
b28e9b2fa67452a7,quality,22
b28e9b2fa67452a7,local,22
b28e9b2fa67452a7,global_front2,0
b28e9b2fa67452a7,conditional_front2,2
bd8dea7f7efc5343,raw,192
bd8dea7f7efc5343,hard_safety,192
bd8dea7f7efc5343,compatible,34
bd8dea7f7efc5343,quality,21
bd8dea7f7efc5343,local,21
bd8dea7f7efc5343,global_front2,0
bd8dea7f7efc5343,conditional_front2,2
8224627048195e4f,raw,192
8224627048195e4f,hard_safety,192
8224627048195e4f,compatible,31
8224627048195e4f,quality,26
8224627048195e4f,local,26
8224627048195e4f,global_front2,0
8224627048195e4f,conditional_front2,2
3225bfcbea245dd7,raw,192
3225bfcbea245dd7,hard_safety,192
3225bfcbea245dd7,compatible,48
3225bfcbea245dd7,quality,48
3225bfcbea245dd7,local,48
3225bfcbea245dd7,global_front2,48
3225bfcbea245dd7,conditional_front2,48
114a9052bd6851a2,raw,192
114a9052bd6851a2,hard_safety,192
114a9052bd6851a2,compatible,38
114a9052bd6851a2,quality,34
114a9052bd6851a2,local,34
114a9052bd6851a2,global_front2,0
114a9052bd6851a2,conditional_front2,2
f80fe289f8135602,raw,192
f80fe289f8135602,hard_safety,190
f80fe289f8135602,compatible,35
f80fe289f8135602,quality,19
f80fe289f8135602,local,19
f80fe289f8135602,global_front2,0
f80fe289f8135602,conditional_front2,2
983b7ed08a4b5a88,raw,192
983b7ed08a4b5a88,hard_safety,192
983b7ed08a4b5a88,compatible,36
983b7ed08a4b5a88,quality,36
983b7ed08a4b5a88,local,36
983b7ed08a4b5a88,global_front2,36
983b7ed08a4b5a88,conditional_front2,36
34dd4c6fb6245b9a,raw,192
34dd4c6fb6245b9a,hard_safety,192
34dd4c6fb6245b9a,compatible,30
34dd4c6fb6245b9a,quality,23
34dd4c6fb6245b9a,local,23
34dd4c6fb6245b9a,global_front2,2
34dd4c6fb6245b9a,conditional_front2,2
5895d1e3cb355fb9,raw,192
5895d1e3cb355fb9,hard_safety,192
5895d1e3cb355fb9,compatible,33
5895d1e3cb355fb9,quality,28
5895d1e3cb355fb9,local,28
5895d1e3cb355fb9,global_front2,0
5895d1e3cb355fb9,conditional_front2,2
14b505fe90ef5fb8,raw,192
14b505fe90ef5fb8,hard_safety,192
14b505fe90ef5fb8,compatible,31
14b505fe90ef5fb8,quality,31
14b505fe90ef5fb8,local,31
14b505fe90ef5fb8,global_front2,31
14b505fe90ef5fb8,conditional_front2,31
1ce58516c7675036,raw,192
1ce58516c7675036,hard_safety,72
1ce58516c7675036,compatible,0
1ce58516c7675036,quality,0
1ce58516c7675036,local,0
1ce58516c7675036,global_front2,0
1ce58516c7675036,conditional_front2,0
b1e88b8722105d53,raw,192
b1e88b8722105d53,hard_safety,192
b1e88b8722105d53,compatible,31
b1e88b8722105d53,quality,24
b1e88b8722105d53,local,24
b1e88b8722105d53,global_front2,1
b1e88b8722105d53,conditional_front2,2
410fac99463459e6,raw,192
410fac99463459e6,hard_safety,192
410fac99463459e6,compatible,32
410fac99463459e6,quality,32
410fac99463459e6,local,32
410fac99463459e6,global_front2,32
410fac99463459e6,conditional_front2,32
5207306ed1a05de8,raw,192
5207306ed1a05de8,hard_safety,192
5207306ed1a05de8,compatible,31
5207306ed1a05de8,quality,31
5207306ed1a05de8,local,31
5207306ed1a05de8,global_front2,31
5207306ed1a05de8,conditional_front2,31
8ba3bff293265674,raw,192
8ba3bff293265674,hard_safety,190
8ba3bff293265674,compatible,36
8ba3bff293265674,quality,27
8ba3bff293265674,local,27
8ba3bff293265674,global_front2,20
8ba3bff293265674,conditional_front2,20
69560676d53a56c9,raw,192
