claim_id,section,page,claim_or_metric,method,value,benchmark,source_location,notes
FF_RECOVERY,"Method: FF-PGRPO",5,"all-infeasible recovery supervision","FF-PGRPO","weak diffusion supervision from safe scene reference when available","NAVSIM","first full paragraph p. 5","Group is downweighted; weights not stated"
FF_REG,"Method: FF-PGRPO",5,"policy regularization anchor","FF-PGRPO","pi_initial via BC or KL","","first full paragraph p. 5","Weights/schedule not stated"
APR_POOL_TEXT,"Method: APR",5,"teacher pool sources","APR","other policy seeds; structured expanders; safety/progress/regularity specialists","","APR opening paragraph","Counts and proportions not stated"
APR_POOL_FIG,"Method: APR",3,"teacher pool labels in overview figure","APR","Current; GRPO; pi_initial; History","","Figure 2(d)","Figure labels are not a complete quantitative source inventory"
APR_BASELINE,"Method: APR",5,"teacher audit baseline","APR","current policy single-trajectory prediction","","APR second paragraph","Per scene"
APR_ADMISSION,"Method: APR",5,"teacher admission rule","APR","feasible; aggregate-score margin; no protected-metric degradation","NAVSIM","APR second paragraph","Margins/tolerances not stated"
APR_PREFERENCE,"Method: APR",5,"teacher preference","APR","larger gain; smaller behavioral distance; lower curvature or jerk","","APR second paragraph","Exact ranking formula not stated"
APR_INTERPOLATE,"Method: APR",5,"interpolation search","APR","short descending list of ratios","","APR third paragraph","Ratios are not stated"
APR_REEVAL,"Method: APR",5,"post-interpolation validation","APR","re-evaluate and retain largest feasible improving protected compatible local target","NAVSIM","APR third paragraph",""
APR_WEIGHT,"Method: APR",5,"target weight","APR","verified score gain","","APR fourth paragraph","Temperature/clip not stated"
APR_RETENTION,"Method: APR",5,"retention behavior","APR","current predictions plus distillation or KL; retention-only when no teacher","","APR fourth paragraph","Loss weights not stated"
APR_BRANCHES,"Method: APR",5,"specialist branches","APR","safety; progress; structure","","APR fourth paragraph","May be trained separately"
APR_MERGE,"Method: APR",5,"branch merge","APR","constrained salient anchor-aligned task-vector merge","","APR fourth paragraph","Detailed rules promised in supplement"
APR_REBUILD,"Method: APR",5,"teacher lifecycle","APR","regenerate predictions/rollout bank and rebuild teacher set after each round","","APR final paragraph","Outdated teachers removed and previously unsuitable candidates may enter"
PROTO_BENCH,"Experimental Setup",5,"benchmarks","AMPT","NAVSIM v1 and NAVSIM v2","NAVSIM","Benchmarks and evaluation protocol",""
PROTO_V1_COMPONENTS,"Experimental Setup",5,"PDMS component list","NAVSIM v1","NC; DAC; TTC; C; EP","NAVSIM v1","Benchmarks and evaluation protocol","DDC is discussed as protected in Method but not listed as a reported PDMS component"
PROTO_V2_ADDED,"Experimental Setup",5,"additional EPDMS metrics","NAVSIM v2","DDC; TLC; LK; HC; EC","NAVSIM v2","Benchmarks and evaluation protocol","In addition to v1-style metrics"
PROTO_CHALLENGE_N,"Experimental Setup",5,"initial failure scene count","ReCogDrive IL","658","NAVSIM v1 hard-scene subset","Benchmarks and evaluation protocol","Fixed challenging subset"
PROTO_CHALLENGE_ROUNDS,"Experimental Setup",5,"sampling rounds used to define each initial failure","ReCogDrive IL","5","NAVSIM v1 hard-scene subset","Benchmarks and evaluation protocol","Collision or drivable-area exceedance in all rounds; PDMS 0"
TRAIN_BACKBONE,"Experimental Setup",5,"VLA backbone","AMPT","InternVL3-2B","","Implementation details",""
TRAIN_PLANNER,"Experimental Setup",5,"trajectory planner","AMPT","ReCogDrive diffusion planner","","Implementation details",""
TRAIN_IL_EPOCHS,"Experimental Setup",5,"IL epochs","GT-only and multi-trajectory variants","200","","Implementation details",""
TRAIN_GRPO_GROUP,"Experimental Setup",5,"rollouts per scene","GRPO","16","","Implementation details",""
TRAIN_GRPO_EPOCHS,"Experimental Setup",5,"optimization epochs","GRPO","10","","Implementation details",""
TRAIN_APR_ROUNDS,"Experimental Setup",5,"iterative refinement rounds","APR","3","","Implementation details",""
TRAIN_GPUS,"Experimental Setup",5,"GPU count","all experiments","8","","Implementation details","NVIDIA A800"
TRAIN_GPU_MODEL,"Experimental Setup",5,"GPU model","all experiments","NVIDIA A800","","Implementation details","Memory capacity not stated"
FAIR_CONTROLS,"Experimental Setup",5,"controlled-comparison constants","controlled variants","same initialization; trajectory representation; optimizer; training budget; evaluation protocol","","Implementation details","Exact values not provided"
VARIANT_SCORE,"Experimental Setup",5,"candidate selection definition","Score","aggregate score only","NAVSIM","Compared variants",""
VARIANT_PARETO,"Experimental Setup",5,"candidate selection definition","Pareto","Score plus component-wise Pareto filtering","NAVSIM","Compared variants",""
VARIANT_PCMTS,"Experimental Setup",5,"candidate selection definition","PC-MTS","Pareto plus frozen-policy compatibility filtering","NAVSIM","Compared variants",""
VARIANT_SAME_GRPO,"Experimental Setup",5,"downstream optimizer for trajectory-set comparison","GT/Score/Pareto/PC-MTS","same original scalar GRPO","NAVSIM v1","Compared variants",""
T1_LAW_NC,"Main Results: Table 1",6,"NC","LAW","96.4","NAVSIM v1","Table 1 row LAW","Higher is better"
T1_LAW_DAC,"Main Results: Table 1",6,"DAC","LAW","95.4","NAVSIM v1","Table 1 row LAW","Higher is better"
T1_LAW_TTC,"Main Results: Table 1",6,"TTC","LAW","88.7","NAVSIM v1","Table 1 row LAW","Higher is better"
T1_LAW_C,"Main Results: Table 1",6,"C","LAW","99.9","NAVSIM v1","Table 1 row LAW","Higher is better"
T1_LAW_EP,"Main Results: Table 1",6,"EP","LAW","81.7","NAVSIM v1","Table 1 row LAW","Higher is better"
T1_LAW_PDMS,"Main Results: Table 1",6,"PDMS","LAW","84.6","NAVSIM v1","Table 1 row LAW","Single-trajectory planning"
T1_FSDRIVE_NC,"Main Results: Table 1",6,"NC","FSDrive","98.2","NAVSIM v1","Table 1 row FSDrive","Higher is better"
T1_FSDRIVE_DAC,"Main Results: Table 1",6,"DAC","FSDrive","93.8","NAVSIM v1","Table 1 row FSDrive","Higher is better"
T1_FSDRIVE_TTC,"Main Results: Table 1",6,"TTC","FSDrive","93.3","NAVSIM v1","Table 1 row FSDrive","Higher is better"
T1_FSDRIVE_C,"Main Results: Table 1",6,"C","FSDrive","99.9","NAVSIM v1","Table 1 row FSDrive","Higher is better"
T1_FSDRIVE_EP,"Main Results: Table 1",6,"EP","FSDrive","80.1","NAVSIM v1","Table 1 row FSDrive","Higher is better"
T1_FSDRIVE_PDMS,"Main Results: Table 1",6,"PDMS","FSDrive","85.1","NAVSIM v1","Table 1 row FSDrive","Single-trajectory planning"
T1_HYDRA_NC,"Main Results: Table 1",6,"NC","Hydra-MDP","98.3","NAVSIM v1","Table 1 row Hydra-MDP","Higher is better"
T1_HYDRA_DAC,"Main Results: Table 1",6,"DAC","Hydra-MDP","96.0","NAVSIM v1","Table 1 row Hydra-MDP","Higher is better"
T1_HYDRA_TTC,"Main Results: Table 1",6,"TTC","Hydra-MDP","94.6","NAVSIM v1","Table 1 row Hydra-MDP","Higher is better"
T1_HYDRA_C,"Main Results: Table 1",6,"C","Hydra-MDP","100","NAVSIM v1","Table 1 row Hydra-MDP","Higher is better"
T1_HYDRA_EP,"Main Results: Table 1",6,"EP","Hydra-MDP","78.7","NAVSIM v1","Table 1 row Hydra-MDP","Higher is better"
T1_HYDRA_PDMS,"Main Results: Table 1",6,"PDMS","Hydra-MDP","86.5","NAVSIM v1","Table 1 row Hydra-MDP","Single-trajectory planning"
T1_DD_NC,"Main Results: Table 1",6,"NC","DiffusionDrive","98.2","NAVSIM v1","Table 1 row DiffusionDrive","Higher is better"
T1_DD_DAC,"Main Results: Table 1",6,"DAC","DiffusionDrive","96.2","NAVSIM v1","Table 1 row DiffusionDrive","Higher is better"
T1_DD_TTC,"Main Results: Table 1",6,"TTC","DiffusionDrive","94.7","NAVSIM v1","Table 1 row DiffusionDrive","Higher is better"
T1_DD_C,"Main Results: Table 1",6,"C","DiffusionDrive","100","NAVSIM v1","Table 1 row DiffusionDrive","Higher is better"
T1_DD_EP,"Main Results: Table 1",6,"EP","DiffusionDrive","82.2","NAVSIM v1","Table 1 row DiffusionDrive","Higher is better"
T1_DD_PDMS,"Main Results: Table 1",6,"PDMS","DiffusionDrive","88.1","NAVSIM v1","Table 1 row DiffusionDrive","Single-trajectory planning"
T1_PWM_NC,"Main Results: Table 1",6,"NC","PWM","98.6","NAVSIM v1","Table 1 row PWM","Higher is better"
T1_PWM_DAC,"Main Results: Table 1",6,"DAC","PWM","95.9","NAVSIM v1","Table 1 row PWM","Higher is better"
T1_PWM_TTC,"Main Results: Table 1",6,"TTC","PWM","95.4","NAVSIM v1","Table 1 row PWM","Higher is better"
T1_PWM_C,"Main Results: Table 1",6,"C","PWM","100","NAVSIM v1","Table 1 row PWM","Higher is better"
T1_PWM_EP,"Main Results: Table 1",6,"EP","PWM","81.8","NAVSIM v1","Table 1 row PWM","Higher is better"
T1_PWM_PDMS,"Main Results: Table 1",6,"PDMS","PWM","88.1","NAVSIM v1","Table 1 row PWM","Single-trajectory planning"
T1_AUTOVLA_NC,"Main Results: Table 1",6,"NC","AutoVLA","98.4","NAVSIM v1","Table 1 row AutoVLA","Higher is better"
T1_AUTOVLA_DAC,"Main Results: Table 1",6,"DAC","AutoVLA","95.6","NAVSIM v1","Table 1 row AutoVLA","Higher is better"
T1_AUTOVLA_TTC,"Main Results: Table 1",6,"TTC","AutoVLA","98.0","NAVSIM v1","Table 1 row AutoVLA","Higher is better"
T1_AUTOVLA_C,"Main Results: Table 1",6,"C","AutoVLA","99.9","NAVSIM v1","Table 1 row AutoVLA","Higher is better"
T1_AUTOVLA_EP,"Main Results: Table 1",6,"EP","AutoVLA","81.9","NAVSIM v1","Table 1 row AutoVLA","Higher is better"
T1_AUTOVLA_PDMS,"Main Results: Table 1",6,"PDMS","AutoVLA","89.1","NAVSIM v1","Table 1 row AutoVLA","Single-trajectory planning"
T1_DRIVEVLA_NC,"Main Results: Table 1",6,"NC","DriveVLA-W0","98.7","NAVSIM v1","Table 1 row DriveVLA-W0","Higher is better"
T1_DRIVEVLA_DAC,"Main Results: Table 1",6,"DAC","DriveVLA-W0","99.1","NAVSIM v1","Table 1 row DriveVLA-W0","Higher is better"
T1_DRIVEVLA_TTC,"Main Results: Table 1",6,"TTC","DriveVLA-W0","95.3","NAVSIM v1","Table 1 row DriveVLA-W0","Higher is better"
T1_DRIVEVLA_C,"Main Results: Table 1",6,"C","DriveVLA-W0","99.3","NAVSIM v1","Table 1 row DriveVLA-W0","Higher is better"
T1_DRIVEVLA_EP,"Main Results: Table 1",6,"EP","DriveVLA-W0","83.3","NAVSIM v1","Table 1 row DriveVLA-W0","Higher is better"
T1_DRIVEVLA_PDMS,"Main Results: Table 1",6,"PDMS","DriveVLA-W0","90.2","NAVSIM v1","Table 1 row DriveVLA-W0","Single-trajectory planning"
T1_GOALFLOW_NC,"Main Results: Table 1",6,"NC","GoalFlow","98.4","NAVSIM v1","Table 1 row GoalFlow","Higher is better"
T1_GOALFLOW_DAC,"Main Results: Table 1",6,"DAC","GoalFlow","98.3","NAVSIM v1","Table 1 row GoalFlow","Higher is better"
T1_GOALFLOW_TTC,"Main Results: Table 1",6,"TTC","GoalFlow","94.6","NAVSIM v1","Table 1 row GoalFlow","Higher is better"
T1_GOALFLOW_C,"Main Results: Table 1",6,"C","GoalFlow","100","NAVSIM v1","Table 1 row GoalFlow","Higher is better"
T1_GOALFLOW_EP,"Main Results: Table 1",6,"EP","GoalFlow","85.0","NAVSIM v1","Table 1 row GoalFlow","Higher is better"
T1_GOALFLOW_PDMS,"Main Results: Table 1",6,"PDMS","GoalFlow","90.3","NAVSIM v1","Table 1 row GoalFlow","Single-trajectory planning"
T1_CURIOUS_NC,"Main Results: Table 1",6,"NC","Curious-VLA","98.4","NAVSIM v1","Table 1 row Curious-VLA","Higher is better"
T1_CURIOUS_DAC,"Main Results: Table 1",6,"DAC","Curious-VLA","96.9","NAVSIM v1","Table 1 row Curious-VLA","Higher is better"
T1_CURIOUS_TTC,"Main Results: Table 1",6,"TTC","Curious-VLA","97.9","NAVSIM v1","Table 1 row Curious-VLA","Higher is better"
T1_CURIOUS_C,"Main Results: Table 1",6,"C","Curious-VLA","98.1","NAVSIM v1","Table 1 row Curious-VLA","Higher is better"
T1_CURIOUS_EP,"Main Results: Table 1",6,"EP","Curious-VLA","88.5","NAVSIM v1","Table 1 row Curious-VLA","Higher is better"
T1_CURIOUS_PDMS,"Main Results: Table 1",6,"PDMS","Curious-VLA","90.3","NAVSIM v1","Table 1 row Curious-VLA","Single-trajectory planning"
T1_ADATHINK_NC,"Main Results: Table 1",6,"NC","AdathinkDrive","98.4","NAVSIM v1","Table 1 row AdathinkDrive","Higher is better"
T1_ADATHINK_DAC,"Main Results: Table 1",6,"DAC","AdathinkDrive","97.8","NAVSIM v1","Table 1 row AdathinkDrive","Higher is better"
T1_ADATHINK_TTC,"Main Results: Table 1",6,"TTC","AdathinkDrive","95.2","NAVSIM v1","Table 1 row AdathinkDrive","Higher is better"
T1_ADATHINK_C,"Main Results: Table 1",6,"C","AdathinkDrive","100","NAVSIM v1","Table 1 row AdathinkDrive","Higher is better"
T1_ADATHINK_EP,"Main Results: Table 1",6,"EP","AdathinkDrive","84.4","NAVSIM v1","Table 1 row AdathinkDrive","Higher is better"
T1_ADATHINK_PDMS,"Main Results: Table 1",6,"PDMS","AdathinkDrive","90.3","NAVSIM v1","Table 1 row AdathinkDrive","Single-trajectory planning"
T1_RECOG_NC,"Main Results: Table 1",6,"NC","ReCogDrive","97.9","NAVSIM v1","Table 1 row ReCogDrive","Higher is better"
T1_RECOG_DAC,"Main Results: Table 1",6,"DAC","ReCogDrive","97.3","NAVSIM v1","Table 1 row ReCogDrive","Higher is better"
T1_RECOG_TTC,"Main Results: Table 1",6,"TTC","ReCogDrive","94.9","NAVSIM v1","Table 1 row ReCogDrive","Higher is better"
T1_RECOG_C,"Main Results: Table 1",6,"C","ReCogDrive","100","NAVSIM v1","Table 1 row ReCogDrive","Higher is better"
T1_RECOG_EP,"Main Results: Table 1",6,"EP","ReCogDrive","87.3","NAVSIM v1","Table 1 row ReCogDrive","Higher is better"
T1_RECOG_PDMS,"Main Results: Table 1",6,"PDMS","ReCogDrive","90.8","NAVSIM v1","Table 1 row ReCogDrive","Single-trajectory planning"
T1_DDV2_NC,"Main Results: Table 1",6,"NC","DiffusionDriveV2","98.3","NAVSIM v1","Table 1 row DiffusionDriveV2","Higher is better"
T1_DDV2_DAC,"Main Results: Table 1",6,"DAC","DiffusionDriveV2","97.9","NAVSIM v1","Table 1 row DiffusionDriveV2","Higher is better"
T1_DDV2_TTC,"Main Results: Table 1",6,"TTC","DiffusionDriveV2","94.8","NAVSIM v1","Table 1 row DiffusionDriveV2","Higher is better"
T1_DDV2_C,"Main Results: Table 1",6,"C","DiffusionDriveV2","99.9","NAVSIM v1","Table 1 row DiffusionDriveV2","Higher is better"
T1_DDV2_EP,"Main Results: Table 1",6,"EP","DiffusionDriveV2","87.5","NAVSIM v1","Table 1 row DiffusionDriveV2","Higher is better"
T1_DDV2_PDMS,"Main Results: Table 1",6,"PDMS","DiffusionDriveV2","91.2","NAVSIM v1","Table 1 row DiffusionDriveV2","Single-trajectory planning"
T1_AMPT_NC,"Main Results: Table 1",6,"NC","AMPT","98.5","NAVSIM v1","Table 1 row AMPT","Higher is better"
T1_AMPT_DAC,"Main Results: Table 1",6,"DAC","AMPT","98.0","NAVSIM v1","Table 1 row AMPT","Higher is better"
T1_AMPT_TTC,"Main Results: Table 1",6,"TTC","AMPT","96.0","NAVSIM v1","Table 1 row AMPT","Higher is better"
T1_AMPT_C,"Main Results: Table 1",6,"C","AMPT","100","NAVSIM v1","Table 1 row AMPT","Higher is better"
T1_AMPT_EP,"Main Results: Table 1",6,"EP","AMPT","86.7","NAVSIM v1","Table 1 row AMPT","Higher is better"
T1_AMPT_PDMS,"Main Results: Table 1",6,"PDMS","AMPT","91.4","NAVSIM v1","Table 1 row AMPT","Single-trajectory planning"
T1_MARGIN,"Main Results",5,"PDMS margin over DiffusionDriveV2","AMPT","0.2","NAVSIM v1","NAVSIM v1 prose","91.4 minus 91.2"
T1_TTC_MARGIN,"Main Results",5,"TTC gain over DiffusionDriveV2","AMPT","1.2","NAVSIM v1","NAVSIM v1 prose","96.0 minus 94.8"
T2_GT_IL,"Trajectory-set construction: Table 2",6,"IL PDMS","GT","86.4","NAVSIM v1","Figure 1(b); Table 2 row GT",""
T2_GT_GRPO,"Trajectory-set construction: Table 2",6,"GRPO PDMS","GT","90.3","NAVSIM v1","Figure 1(b); Table 2 row GT","Same original scalar GRPO"
T2_GT_DELTA,"Trajectory-set construction: Table 2",6,"IL-to-GRPO delta","GT","+3.9","NAVSIM v1","Figure 1(b); Table 2 row GT",""
T2_SCORE_IL,"Trajectory-set construction: Table 2",6,"IL PDMS","Score","87.2","NAVSIM v1","Figure 1(b); Table 2 row Score",""
T2_SCORE_GRPO,"Trajectory-set construction: Table 2",6,"GRPO PDMS","Score","85.8","NAVSIM v1","Figure 1(b); Table 2 row Score","Same original scalar GRPO"
T2_SCORE_DELTA,"Trajectory-set construction: Table 2",6,"IL-to-GRPO delta","Score","-1.4","NAVSIM v1","Figure 1(b); Table 2 row Score",""
T2_PARETO_IL,"Trajectory-set construction: Table 2",6,"IL PDMS","Pareto","87.5","NAVSIM v1","Figure 1(b); Table 2 row Pareto",""
T2_PARETO_GRPO,"Trajectory-set construction: Table 2",6,"GRPO PDMS","Pareto","86.7","NAVSIM v1","Figure 1(b); Table 2 row Pareto","Same original scalar GRPO"
T2_PARETO_DELTA,"Trajectory-set construction: Table 2",6,"IL-to-GRPO delta","Pareto","-0.8","NAVSIM v1","Figure 1(b); Table 2 row Pareto",""
T2_PCMTS_IL,"Trajectory-set construction: Table 2",6,"IL PDMS","PC-MTS","86.9","NAVSIM v1","Figure 1(b); Table 2 row PC-MTS",""
T2_PCMTS_GRPO,"Trajectory-set construction: Table 2",6,"GRPO PDMS","PC-MTS","91.1","NAVSIM v1","Figure 1(b); Table 2 row PC-MTS","Same original scalar GRPO"
T2_PCMTS_DELTA,"Trajectory-set construction: Table 2",6,"IL-to-GRPO delta","PC-MTS","+4.2","NAVSIM v1","Figure 1(b); Table 2 row PC-MTS",""
T3_TRANSFUSER_NC,"Main Results: Table 3",7,"NC","TransFuser","97.7","NAVSIM v2","Table 3 row TransFuser","Higher is better"
T3_TRANSFUSER_DAC,"Main Results: Table 3",7,"DAC","TransFuser","92.8","NAVSIM v2","Table 3 row TransFuser","Higher is better"
T3_TRANSFUSER_DDC,"Main Results: Table 3",7,"DDC","TransFuser","98.3","NAVSIM v2","Table 3 row TransFuser","Higher is better"
T3_TRANSFUSER_TLC,"Main Results: Table 3",7,"TLC","TransFuser","99.9","NAVSIM v2","Table 3 row TransFuser","Higher is better"
T3_TRANSFUSER_TTC,"Main Results: Table 3",7,"TTC","TransFuser","92.8","NAVSIM v2","Table 3 row TransFuser","Higher is better"
T3_TRANSFUSER_EP,"Main Results: Table 3",7,"EP","TransFuser","79.2","NAVSIM v2","Table 3 row TransFuser","Higher is better"
T3_TRANSFUSER_LK,"Main Results: Table 3",7,"LK","TransFuser","67.6","NAVSIM v2","Table 3 row TransFuser","Higher is better"
